rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
137,"spotify:track:6I86RF3odBlcuZA9Vfjzeq","Romeo Santos","Eres Mía","Sony Music Latin",65,139,58,"40366"
138,"spotify:track:6NdKkfo7o6IH1Op0jsBDjN","Plan B","Si No Le Contesto","Pina Records",90,116,135,"40257"
139,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",51,129,44,"40110"
140,"spotify:track:51Awtxah1bdEZCnUP3i70E","Grupo Frontera, Bad Bunny","un x100to","BorderTown Records",1,128,155,"40105"
141,"spotify:track:3D24ErT1MMmUfXWotSj2A2","Fuerza Regida, Grupo Frontera","ME JALO","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",7,130,66,"40043"
142,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",2,123,85,"40026"
143,"spotify:track:059bcIhyc2SBwm6sw2AZzd","Piso 21, Micro TDH","Te Vi","WM Mexico",4,140,270,"39634"
144,"spotify:track:4tQofG51E0juZBBVr6pral","Mora","Tuyo","Rimas Entertainment LLC",53,142,143,"39608"
145,"spotify:track:2BPmAFsiy6vwDceybqIAjw","Los Enanitos Verdes","Frances Limon","UME - Global Clearing House",135,149,8,"39489"
146,"spotify:track:4NyUIohBa3CEMGcXURYSOh","Herencia De Grandes","Ya Borracho","Rancho Humilde",115,137,6,"39488"
147,"spotify:track:3k1jhDqp4mVIVEoZg0bQED","Grupo Frontera, Manuel Turizo","La Del Proceso","BorderTown Records",17,153,42,"38992"
148,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",4,125,81,"38977"
149,"spotify:track:6UO9DhCUq4ZbQz7PXwelFV","Max Carra","UWAIE - versión cumbia","Max Carra",87,159,10,"38833"
150,"spotify:track:6eB5kK91MfMgzknl4seoRS","Diableros Jujeños","Quizás Si Quizás No","Diableros Jujeños",72,157,22,"38806"
151,"spotify:track:1m69ELEgE6k5ZWsap40ozt","Ozuna","Se Preparó","VP Records Corp/Dimelo Vi",6,144,134,"38619"
152,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",17,126,34,"38424"
153,"spotify:track:18m5dJOPB2geFwOymXNaWg","Mora, De La Rose","AURORA","Rimas Entertainment LLC.",34,148,43,"38333"
154,"spotify:track:6tt6JnKerLnOL0oez9QPqS","Milo j","OLIMPO","DALE PLAY Records",80,138,23,"38038"
155,"spotify:track:4DS7HoqrKq1dDjeYOKBlu9","Trap Capos, Noriel, Bad Bunny, Arcángel","De las 2 (feat. Bad Bunny & Arcángel)","Sony Music Latin/Ganda Entertainment",102,119,23,"37905"
156,"spotify:track:1BSijYfeMpjKCzfROYNKh7","Luis Vega","La Foto","Alternativa Representa, S.A. de C.V.",9,169,87,"37635"
157,"spotify:track:7xjFEvchFCiAmuseCBModI","Pablo Chill-E, Ñengo Flow, Jere Klein","Bastardo (feat. Ñengo Flow & Jere Klein)","G STARR ENT",157,195,3,"37503"
158,"spotify:track:5q2JbCNi4FcnglgPfxcV65","Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin","Sola (Remix)","Spiff TV, LLC / Real Hasta La Muerte, Inc.",14,145,162,"37450"
159,"spotify:track:1N6v2vmtQ6C53eyO3b4YzR","Corona, Luis Vega","Desvelado","Tiluchi Records",98,-1,14,"37321"
160,"spotify:track:51K8mSrlrwWeJL7Vl4usFc","Fran Aliss, Corona","SIEMPRE","BLGNG Records",160,178,2,"37036"
161,"spotify:track:0SAGpMJQz3XdfRFdwuSX9b","De Parranda, Luis Vega","FILTRO","VHR Music",27,158,117,"37018"
162,"spotify:track:7nyk5uxevcijIfl1FlJgmA","Omar Courtz","SI ESTÁS CON ALGUIEN","Rimas Entertainment LLC.",59,155,6,"36954"
163,"spotify:track:4bw8mcDUSRWfQo63ZTYRnU","Maluma, Carín León","Según Quién","Sony Music Latin",1,174,135,"36898"
