rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
49,"spotify:track:6mxnut3OxI5xxUnbYgDnXk","Norambuena, RealViviendo","No Va a Chocar","Norambuena",49,63,5,"432146"
50,"spotify:track:1KfiYYMCZkP7no8DdkXFDl","Tobal Mj, Lucky Brown, Nacho G Flow","Tiene","Stars Music Chile 2024",3,44,55,"425006"
51,"spotify:track:6OaGIYcVzx5c7aEKkuYS1M","Tony Dize, Yandel","Permítame","Pina Records",49,61,141,"411570"
52,"spotify:track:7sChwC2NZjGc2Kdni3hlDg","Yan Block, Panda Black","Talento","Sonar LLC.",52,56,17,"409275"
53,"spotify:track:2BwO5K8Q7EPAJSGze3AAh9","Sabrina Carpenter","Manchild","Island Records",53,136,12,"393510"
54,"spotify:track:0h54mLixODOqU6vTcZMqVM","Omar Courtz, ROA","WO OH OH","Rimas Entertainment LLC.",46,58,4,"391768"
55,"spotify:track:1oghNMGW42IhtQPNU6leZz","Omar Courtz","VAMOaCOCHI","Rimas Entertainment LLC.",55,78,4,"390015"
56,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",11,89,32,"388763"
57,"spotify:track:16H0X18lIoNvmbsPE3p4VI","Piero 47","M5","Piero 47 oficial",16,64,7,"373238"
58,"spotify:track:623kbEIDhzRFLVk1r8cBTm","W Sound, Cris MJ, Ovy On The Drums","Chica Galáctica - W Sound 07","WEA Latina",10,60,16,"370220"
59,"spotify:track:2XsNvTXYuCNCoz94bPBrPB","Katteyes, Jere Klein, Lucky Brown","BAILAME ASI","KATTEYES LLC/Sony Music Latin",1,54,39,"370117"
60,"spotify:track:7MQ04bZzJGKiBRioclEiIo","Randy Nota Loca, Eloy","Fuera Del Planeta","Nota Loca Music Corp.",19,55,39,"369889"
61,"spotify:track:4WO84c2RC2awk4ewUaG2Ar","Jere Klein, Mateo on the Beatz","DEMONIAKA","2026 JERE KLEIN",3,50,25,"368417"
62,"spotify:track:7nyk5uxevcijIfl1FlJgmA","Omar Courtz","SI ESTÁS CON ALGUIEN","Rimas Entertainment LLC.",55,57,4,"366672"
