rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
150,"spotify:track:3X8jKI7kHrbhqgLboG14tw","Eugenia Quevedo, Angela Leiva, La banda de Carlitos","No Podrás - En Vivo","Eugenia Quevedo",44,156,55,"355600"
151,"spotify:track:4SJHHpKhcuXwDsCsPqshXj","Rauw Alejandro, Chencho Corleone","El Efecto","Duars Entertainment, Corp.",30,171,124,"355025"
152,"spotify:track:1IgrATr9zMmRjtFVFY6O7s","DobleP, Peipper, Locura Mix, VERNAZ","PUTERÍ4","DALE PLAY Records / Wesaisons Records",37,137,19,"353720"
153,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",17,102,44,"352680"
154,"spotify:track:6BHlafXY1L2eetDCwict05","Patricio Rey y sus Redonditos de Ricota","La Bestia Pop","Patricio Rey Discos",151,167,17,"350779"
155,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",20,191,76,"349665"
156,"spotify:track:06WyITrA2pZJT5Nt79AOrb","Ulises Bueno, DesaKTa2","No Puedo Fingirlo","Almenara Network S.A.S",91,169,45,"349107"
157,"spotify:track:78OOLg1XsVW0QQkfHP2VEV","Luciano Pereyra, The La Planta, Un Poco de Ruido, Pinky SD","Es Mi Culpa - Versión Cumbia","Universal Music Argentina S.A.",36,140,14,"346820"
158,"spotify:track:4vCAzANUWDE24URV6wQ4ra","Bad Bunny","Otra Noche en Miami","Rimas Entertainment LLC",41,147,8,"344430"
159,"spotify:track:4MjDJD8cW7iVeWInc2Bdyj","Bad Bunny","MONACO","Rimas Entertainment LLC",12,118,24,"344301"
160,"spotify:track:0OcYoSGA1CFGZcCuPLyfhj","Airbag","Solo aquí","WM Argentina",71,152,33,"343905"
161,"spotify:track:6Xom58OOXk2SoU711L2IXO","Bad Bunny","Moscow Mule","Rimas Entertainment LLC",1,138,96,"343901"
162,"spotify:track:2iDDnYmaz1HhedjI91fbmp","DENNIS, Luísa Sonza, Emilia","MOTINHA 2.0 (Mete Marcha) - Remix","Sony Music Entertainment Brasil / 5020 Records",3,160,47,"343193"
163,"spotify:track:6q41qt2R9K8BXEzmzImEGO","Intoxicados, Andrés Calamaro","Fuego","Pop Art",86,157,28,"341264"
164,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",52,-1,44,"340400"
165,"spotify:track:6Soxxi73U6SO4rOGJwYYxI","Los Piojos","Tan Solo","El Farolito Discos",53,175,170,"337382"
166,"spotify:track:4eCrF1FgVL4se3AkHOnLDL","Rata Blanca","Mujer Amante","Universal Music Argentina S.A.",166,195,2,"337344"
167,"spotify:track:6hpuesKPNa3WhV48O7Fa47","Aitana","SUPERESTRELLA","Universal Music Spain S.L.",167,-1,1,"336684"
168,"spotify:track:7jnSlMG2jKJmKvAWxufk2I","Omar Courtz, Myke Towers","WHAT U NEED? (SexPlaylist 2)","Rimas Entertainment LLC.",168,-1,2,"334143"
169,"spotify:track:0ZyNiSXRbq68lmBjV0vJkR","Babasonicos","En Privado","Universal Music Argentina S.A.",107,192,29,"333573"
170,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,166,91,"333079"
171,"spotify:track:1DwscornXpj8fmOmYVlqZt","PinkPantheress, Zara Larsson","Stateside + Zara Larsson","Warner Records",171,179,3,"332709"
172,"spotify:track:2WD9ggmpZE7Wodh3qVVCgg","Soda Stereo","De Música Ligera - Remasterizado 2007","Columbia",100,173,157,"330298"
173,"spotify:track:5hKjEpYrJIJs6uPl7zw6Y6","Jory Boy, Bad Bunny","No Te Hagas","Young Boss Entertainment",54,165,80,"330059"
174,"spotify:track:3QwBODjSEzelZyVjxPOHdq","Zion & Lennox, J Balvin","Otra Vez (feat. J Balvin)","WEA Latina",5,174,108,"329697"
175,"spotify:track:3tt9i3Hhzq84dPS8H7iSiJ","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",1,-1,164,"329350"
176,"spotify:track:4dLLdfiniBhDP9dlJQIOi4","Los Ángeles Azules, Emilia","Perdonarte, ¿Para Qué?","OCESA Seitrack",1,189,95,"329235"
177,"spotify:track:3pevHGhwL0brjFQfPABwns","Airbag","Verte De Cerca","DALE PLAY Records",67,-1,15,"329080"
178,"spotify:track:5QzQIzAdo2gN6iDRNRBKA6","Shelo, Darkiel","Sin Ilusiones","Sosocrazy",153,153,2,"328883"
179,"spotify:track:0a0JiZejbYYem1W31fldde","Ñengo Flow","En Las Noches Frias","Real G 4 Life",179,-1,1,"327139"
180,"spotify:track:6PaIQ2qR59qiqXgjeTFwJA","DesaKTa2","La Diabla","Almenara Network",124,-1,17,"325946"
181,"spotify:track:0vnrhysrKKRdNYFKLAGzRc","KHEA, Duki, Cazzu, Omar Varela, MYKKA","Loca","MUEVA",6,159,105,"323809"
182,"spotify:track:4mZHvbJWkK9uVmD9SvHKao","Patricio Rey y sus Redonditos de Ricota","Tarea Fina","Patricio Rey Discos",152,-1,13,"322366"
183,"spotify:track:1nYD14iq9R9CBUK8UvBjkK","Patricio Rey y sus Redonditos de Ricota","Vencedores Vencidos","Patricio Rey Discos",142,-1,16,"322209"
184,"spotify:track:1iEwyiSLAunPR6uouANE0O","Maluma","El Perdedor","Sony Music Latin",62,190,35,"322062"
185,"spotify:track:4yZk21smI1Z7ybhbJWiLyH","Q' Lokura","For Fun / Cicatrices / Pensamientos - En Vivo en la Plaza de la Música","Q'Lokura",185,-1,1,"321801"
186,"spotify:track:2Cl4HCBmPddQNZEncdoXp0","Feid, ICON","FERXXO 151","UMLE - Latino",142,-1,14,"321582"
187,"spotify:track:3JCian69xIfy8A4799Og5f","Airbag","Ganas de Verte","Pop Art",139,-1,10,"320989"
188,"spotify:track:4JLedgJ80MsjcJBiFdqnFb","Pinky SD, Un Poco de Ruido, Q' Lokura","Me Duele Tu Nombre","Pinky SD",100,182,26,"320270"
189,"spotify:track:2dVpRl0lq9lUEdPPQ1Niec","Maria Becerra","CORAZÓN VACÍO","WEA Latina",1,-1,103,"318418"
190,"spotify:track:2kB1rqoTaZ3j6ChtIWGurm","Viejas Locas","Me Gustas Mucho","Universal Music S.A.",66,-1,88,"318015"
191,"spotify:track:2PkTjm1QAJCZbJ9MqC4RqA","Fito Paez","11 Y 6","EMI Argentina",65,-1,159,"316972"
192,"spotify:track:46YjJXVXWHlQ21odKktg5e","Tainy, Bad Bunny","MOJABI GHOST","NEON16, LLC",71,199,19,"316166"
193,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",156,187,6,"315677"
194,"spotify:track:3oqWr0jDWNXxWufNogGREp","Gustavo Cerati","Crimen","Ariola",34,200,454,"315568"
195,"spotify:track:4GFJrhmEz2sz8V8cDfds6S","Lauta, Matías Valdez, Tote, Nico Valdi","You Are Re Hermosa","LEB Records",195,198,2,"315284"
196,"spotify:track:3SyKG06yOK3omo29EwZ8dP","Mancha De Rolando","Arde la Ciudad","Pop Art",133,178,86,"315206"
197,"spotify:track:1zcpINZGUYXn2dzO1QSlUo","Ian Cordova","Te Amo y Me Amas","Lucky Music Group",197,-1,1,"314869"
198,"spotify:track:1AX4aybSRyXHWrjg27wTFE","Ke Personajes, Onda Sabanera","Pobre Corazón - En Vivo","Ke Personajes",2,168,153,"313662"
199,"spotify:track:3ayHT7okY784fCWMYDbspt","Indio Solari, Los Fundamentalistas del Aire Acondicionado","Había una Vez...","Luzbola",150,172,6,"310198"
200,"spotify:track:0N361WhEqVunVl5ZBkfd70","Árbol","El Fantasma","Surco",47,-1,79,"310148"
