rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
51,"spotify:track:7AbXTjUDHBBlDZlnsqsSHd","Kris R., ROA","PASIÓN Y SEXO","WEA Latina",51,60,3,"608883"
52,"spotify:track:1tz7RZirwiuaJw2p0jbdHb","Omar Courtz","KOKO","Rimas Entertainment LLC.",52,59,3,"608533"
53,"spotify:track:2Mgur7BKnpr7OG3izSNFTA","Bryant Myers, Anuel AA, Anonimus, Almighty","Esclava - Remix","Millogang Music Inc., Real Hasta La Muerte LLC, Anonimus Music, La Industria De Los Inmortales",46,50,71,"605973"
54,"spotify:track:4sTnItbNUAcS5KDG6vTA5B","Blessd, Los Money Makers, Prodmonja","URUS BLUE","WEA Latina",22,55,42,"600937"
55,"spotify:track:4DAMvNqHt0s8zJr6JwOoye","Yeison Jimenez","MLP","Yeison Jimenez",8,44,14,"600095"
56,"spotify:track:4YM3IYESNKXWYHbPXvMMVD","Kapo","NO CRY","Sony Music Latin/La Industria",47,52,17,"597628"
57,"spotify:track:1pLCpA1RN8avJxSD3ZCwhj","Arcángel","Pa' Que La Pases Bien","Cinq Recordings",23,46,167,"593401"
58,"spotify:track:6N2iccqxRInhTLHc2Fu3W0","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",22,58,20,"591873"
59,"spotify:track:0e3d2UZRjtvviXWWMRYGQo","Blessd, J Alvarez","FANÁTICO","WEA Latina",17,78,7,"589148"
60,"spotify:track:3kcr3teEgyTOVIAxMPOPeO","Yeison Jimenez","Un Perro Enamorado","YJ COMPANY",21,56,10,"578844"
61,"spotify:track:0JoHqmlqE0W0i9prt6kcHR","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Sony Music Latin",16,57,135,"575474"
62,"spotify:track:0a0JiZejbYYem1W31fldde","Ñengo Flow","En Las Noches Frias","Real G 4 Life",62,69,46,"575273"
63,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",5,51,63,"571558"
64,"spotify:track:6C1RD7YQVvt3YQj0CmuTeu","Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz","Diles","Rimas Entertainment LLC",20,66,302,"568361"
65,"spotify:track:3CbiuLMBPM6uV4a7HvkOib","Tony Dize, Plan B","Solos","Pina Records",29,79,179,"562843"
66,"spotify:track:6qDTm2QbRSLlSmaUSJE6bF","Blessd, GeezyDee","DIOMEDEZ","WEA Latina",1,53,21,"561834"
67,"spotify:track:7ns16ylM6sbxo9ZWIwyE5d","Danny Ocean, Kapo","Imagínate","Atlantic Records",1,64,71,"547912"
68,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",14,65,37,"547223"
69,"spotify:track:7oFaxm7y17KuKIuJsgf9xK","Kris R., TURY","GATICA OF","WEA Latina",69,-1,1,"544044"
70,"spotify:track:0nafF9MxcXJBQWv3BTKtdF","KAROL G, Feid","Verano Rosa","Bichota/Interscope Records",5,75,39,"543007"
71,"spotify:track:3GhmL9fuM8jwGcHCFbeo3v","Arcángel","Me Prefieres A Mi","Vida Music",42,49,120,"542004"
72,"spotify:track:3u2jlo9kygiIAq7SPVuw6S","Dalmata","Dile a Tu Amiga","FM MUSIC CORP Y ASOCIADOS",25,100,128,"541345"
73,"spotify:track:1o4xkdBe0RjSf2u6VXi4OI","Yan Block, Panda Black","444","SONAR LLC.",25,70,87,"540269"
74,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",4,67,63,"534643"
75,"spotify:track:52IeC2QBiJqk9jAR5gbe14","Kris R., GeezyDee, Prodmonja","BOBADITA","WEA Latina",15,63,20,"533990"
76,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",1,84,479,"530224"
77,"spotify:track:1j4XwpoLvqdkWllikDu7Rm","Luis Alberto Posada","Mal Amor","Luis Alberto Posada",32,91,20,"527508"
78,"spotify:track:7sChwC2NZjGc2Kdni3hlDg","Yan Block, Panda Black","Talento","Sonar LLC.",62,62,14,"522199"
79,"spotify:track:5DdLSEyKh8zgCrJq2hFj92","Yan Block, TORRRES","Yo sé","SONAR LLC.",42,72,63,"519693"
80,"spotify:track:4feh4Ak3ZJfC6ibxkNzlkE","Boza, ELENA ROSE","orióN","Sony Music Latin",6,76,92,"517822"
81,"spotify:track:2btNsI4OvcVl7SAHQQDHFB","Blessd, Ovy On The Drums","Mírame","WEA Latina",1,74,100,"513635"
82,"spotify:track:6r46lnXFbE9fr2d3KNaGbe","Romeo Santos","Imitadora","Sony Music Latin",29,85,116,"513595"
83,"spotify:track:5HCk7iruzhQ1FbxyS3igmM","La Combinación Vallenata, Jean Carlos Centeno","Ayer Y Hoy","Codiscos",47,89,29,"512313"
84,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",11,81,70,"511936"
85,"spotify:track:4aDbrgm1ZaebS1Bb2dOXac","Milo j","Niño","Sony Music Latin",73,88,25,"511922"
86,"spotify:track:6DUdDIRgLqCGq1DwkNWQTN","Maluma","Borro Cassette","Sony Music Latin",23,82,171,"510930"
87,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",3,71,63,"510677"
88,"spotify:track:13BDiikG6y5o5cQTK0HpW6","W Sound, Blessd, Ovy On The Drums","Soltera - W Sound 01","WEA Latina",1,73,85,"509840"
89,"spotify:track:5AK6QqM8aUXXTk6oY00ZRh","Yan Block, De La Rose, Hades66, Ñengo Flow","444 - Remix","Sonar LLC.",34,80,18,"509092"
90,"spotify:track:6uLcqYE347zlvXD6rhiM4J","El Americano 4KT, Kobby","The Flow's Son Black!","De Mi Calle Records",68,68,8,"507884"
91,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",42,113,35,"507575"
92,"spotify:track:0QuHK1VvIZ1Kt2GfqRrdVo","CARABIN3, SVNTI","MUSA","Dinastia INC",36,86,15,"505548"
93,"spotify:track:281YJmnThveWjsWVic9Ym6","Kris R., Blessd","Las Piponas (Remix)","La K Company SAS",3,83,77,"505509"
94,"spotify:track:6OaGIYcVzx5c7aEKkuYS1M","Tony Dize, Yandel","Permítame","Pina Records",59,107,206,"505072"
95,"spotify:track:3NgDulHteTVdF026IxY5bW","Don Omar, Kendo Kapponi","RX","UMLE - Machete",52,104,103,"498528"
96,"spotify:track:01dFxiEOMTTzim5J3kytjA","TURY, CARABIN3, SVNTI","CHUCHA","WEA Latina",77,77,4,"488617"
97,"spotify:track:6cHHrFD3fmBG9MR3k8kvep","Frankie Ruiz","Tú Con Él","UMLE - Latino",44,110,197,"487259"
98,"spotify:track:71w26UK674tLfGtJFfDSjE","Arcángel","Ganas De Ti","Cinq Recordings",78,93,57,"485363"
99,"spotify:track:3mg9jYNC1NihbthlglzrWP","KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd","+57","Bichota/Interscope Records",1,106,71,"482946"
100,"spotify:track:0VKkyBKCXyR99navhVRqcP","Zion & Lennox","La player (Bandolera)","WEA Latina",2,108,177,"482196"
101,"spotify:track:3ClyThLf2bguwdMcm7hqZ2","Kris R., Blessd","COSITAS","WEA Latina",16,95,32,"481565"
102,"spotify:track:72q1JMsCJbKNbWgzipGi6x","Yeison Maje, Ciro Quiñonez, Luis Alfonso, Yeison Jimenez","El Embustero RMX","Marsal Music",40,103,10,"477696"
103,"spotify:track:569xAmXCkpM3IsEOiG4hWe","Kenny Die, Blessd, Kris R., Sebas","Ultra Complicado (feat. Sebas) - Remix","WEA Latina",3,97,57,"473658"
104,"spotify:track:2ALQyXMC26Vew7JX7ert9M","Blessd, Kris R.","POLOS OPUESTOS REMIX - BLESSD VERSION","WEA Latina",3,90,76,"472606"
105,"spotify:track:482PEx8hfMHSsuGtHd960A","Kapo","OHNANA","Sony Music Latin/La Industria",3,92,92,"471663"
106,"spotify:track:3ddJ8Vbc5tYPxq5zKRVke6","KAROL G, Marco Antonio Solís","Coleccionando Heridas","Bichota/Interscope Records",10,98,39,"471612"
107,"spotify:track:4ZGk5h0sIfeunWEKzXEoHr","Tito Rojas","Siempre Sere","Musical Productions",106,115,55,"471094"
108,"spotify:track:4MUrUT38U98olfnyzMBCzm","Bad Bunny","KLOuFRENS","Rimas Entertainment LLC.",15,87,61,"470210"
109,"spotify:track:1OHj2WRXOR9XdCV6PuptXv","Luister La Voz","Amarte más no pude - En vivo","Dinastia INC",109,117,9,"468470"
110,"spotify:track:2T6BBNQW4t81x2ddqWrGzs","Yeison Jimenez","Se Acabó","Yeison Jimenez",22,111,10,"467241"
111,"spotify:track:6RCX0Bbldbl9kR5cHbaQdj","Kris R., Myke Towers","TOPSHELF","WEA Latina",111,-1,1,"462030"
112,"spotify:track:7LBFx2bxSwHyehrWkKsgcE","Kris R.","EL TRAP DE KOLOMBIA","WEA Latina",112,-1,1,"460486"
113,"spotify:track:1C7NXX8UJ6pgNx8EkmyZDd","Beéle","si te pillara","5020 Records",6,112,43,"460164"
114,"spotify:track:00tuEFEnFPiKxDJtn1Bu3K","Kris R., Darell","SINNOMBRE","WEA Latina",114,-1,1,"459736"
115,"spotify:track:1YYfyJ2yCvGFCxwjsIqEK9","Rauw Alejandro, Romeo Santos","Khé?","Sony Music Latin/Duars Entertainment",7,109,70,"459672"
116,"spotify:track:3f4AsGGYt94t7g1lHcsa8D","Alzate, Yeison Jimenez","Mi Venganza","Desde Abajo Records",11,102,64,"455962"
117,"spotify:track:5q2JbCNi4FcnglgPfxcV65","Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin","Sola (Remix)","Spiff TV, LLC / Real Hasta La Muerte, Inc.",6,118,228,"451599"
118,"spotify:track:4wu7jIeJCUhQJaXsXVit0e","Blessd","Palabras Sobran","WEA Latina",23,94,117,"449744"
