rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
114,"spotify:track:10B0cONtHL7b8hdMRE2Du6","Blessd, Anuel AA, Kris R., Young Fatty, CARABIN3, GeezyDee, TURY","BUENOS DIAS (feat. Tury, GeezyDee, CARABIN3)","WEA Latina",8,125,22,"406905"
115,"spotify:track:0QuHK1VvIZ1Kt2GfqRrdVo","CARABIN3, SVNTI","MUSA","Dinastia INC",36,128,18,"406338"
116,"spotify:track:4DAMvNqHt0s8zJr6JwOoye","Yeison Jimenez","MLP","Yeison Jimenez",8,64,17,"404834"
117,"spotify:track:2tKVinInf0PJS1iG04zzqi","Blessd, Sebastian Ledher, Tayson Kryss, Joseph Ren","UNA NOCHE DE LOCURA","WEA Latina",10,124,46,"402976"
118,"spotify:track:3ddJ8Vbc5tYPxq5zKRVke6","KAROL G, Marco Antonio Solís","Coleccionando Heridas","Bichota/Interscope Records",10,117,42,"401753"
119,"spotify:track:5dDlknAL9imbXXl7uG7oqe","Omar Courtz","⁠LUCES DE COLORES","Mr.305 Records / Rimas Entertainment LLC.",119,159,15,"400033"
120,"spotify:track:3NgDulHteTVdF026IxY5bW","Don Omar, Kendo Kapponi","RX","UMLE - Machete",52,115,106,"399140"
121,"spotify:track:73scB4Q4fcOmnsBVZPmk32","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",1,133,94,"398730"
122,"spotify:track:0VKkyBKCXyR99navhVRqcP","Zion & Lennox","La player (Bandolera)","WEA Latina",2,123,180,"397195"
123,"spotify:track:7yNf9YjeO5JXUE3JEBgnYc","Dominic Fike","Babydoll","Columbia",123,171,2,"396328"
124,"spotify:track:0e3d2UZRjtvviXWWMRYGQo","Blessd, J Alvarez","FANÁTICO","WEA Latina",17,95,10,"396080"
125,"spotify:track:74t17BRV4el0mU0Tb8XY1k","YOVNGCHIMI, JC Reyes","MVLAN","Glizzy Gvng Inc. / Roc Nation Distribution",125,155,5,"395178"
126,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",3,127,66,"394993"
127,"spotify:track:6s3w7SUVtmm68Bw5KrKMh0","BTS","One More Night","BIGHIT MUSIC",44,100,3,"390808"
128,"spotify:track:1XpVhaI4HzWrhRWIpdfyJB","BTS","Please","BIGHIT MUSIC",47,102,3,"390724"
129,"spotify:track:01dFxiEOMTTzim5J3kytjA","TURY, CARABIN3, SVNTI","CHUCHA","WEA Latina",77,156,7,"389088"
130,"spotify:track:58cLm4PaHNt8DDr9ayZnNz","Jósean Log","Doma","Jósean Log",130,-1,1,"387544"
131,"spotify:track:4MUrUT38U98olfnyzMBCzm","Bad Bunny","KLOuFRENS","Rimas Entertainment LLC.",15,137,64,"386918"
132,"spotify:track:5q2JbCNi4FcnglgPfxcV65","Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin","Sola (Remix)","Spiff TV, LLC / Real Hasta La Muerte, Inc.",6,122,231,"386669"
133,"spotify:track:1a7onn7lPqqRWul5ogyMyX","Fuerza Regida","ANSIEDAD","Rancho Humilde/Street Mob Records/Sony Music Latin",75,146,31,"384603"
134,"spotify:track:5ds1Hh3lo4JUF2vflqyayK","Yiyo Sarante","Manos de Tijera","TranKYouTV",65,139,83,"380579"
135,"spotify:track:21nc3O8OncUv1jjSrC1ML2","Yiyo Sarante","Corazon de Acero","TranKYouTV",52,132,200,"380072"
136,"spotify:track:0h54mLixODOqU6vTcZMqVM","Omar Courtz, ROA","WO OH OH","Rimas Entertainment LLC.",75,170,7,"379161"
137,"spotify:track:3QwBODjSEzelZyVjxPOHdq","Zion & Lennox, J Balvin","Otra Vez (feat. J Balvin)","WEA Latina",1,120,305,"378287"
138,"spotify:track:1ZNolq7VI7efGlh2hb2VVr","BTS","Into the Sun","BIGHIT MUSIC",50,113,3,"376816"
139,"spotify:track:4ZGk5h0sIfeunWEKzXEoHr","Tito Rojas","Siempre Sere","Musical Productions",106,136,58,"375066"
140,"spotify:track:73BrH4q0vUdhT34uK9j98O","Luister La Voz","Las Cartas","Universal Music Colombia S.A.S.",126,172,25,"374904"
141,"spotify:track:71w26UK674tLfGtJFfDSjE","Arcángel","Ganas De Ti","Cinq Recordings",78,130,60,"374861"
