rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:44xDy4h27s4ENaC8fKnCoC","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",1,2,45,"8582263"
2,"spotify:track:2GP6UzoA55p6yYiPCGyEhg","Omar Camacho, Victor Mendivil","2+2","Rico o Muerto by Baja Sound LLC",1,1,19,"7952218"
3,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",1,3,27,"7244467"
4,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",1,4,27,"7177253"
5,"spotify:track:7585wxMp2e3IhBq3tJAXgw","Calle 24","SUIZA","WEA Latina",4,13,28,"6293708"
6,"spotify:track:0N6h5RnzCNJG3JfROXQIMQ","Natanael Cano, Gabito Ballesteros","Perlas Negras","WEA Latina",1,5,19,"6110248"
7,"spotify:track:3qdeRGn9erK9sjs1kUtBys","Fuerza Regida","CHAVALITAS","Rancho Humilde/Street Mob Records/Sony Music Latin",7,10,21,"6091722"
8,"spotify:track:1eunv1DeEi29UfAcVEoLTt","Tito Double P","POR SUS BESOS","Double P Records",1,6,17,"5333287"
9,"spotify:track:33MeEaRCeIQMSRyFTr5ZJU","Neton Vega","Pvta Luna","Josa Records (Neton Vega)",9,19,6,"5297057"
10,"spotify:track:2AWY8422GKdGpGw6ejB1Ys","Luis R Conriquez, Fuerza Regida, Neton Vega","Chula Vente","K Music/Sony Music Latin",2,8,15,"5210024"
11,"spotify:track:4e76Ss3ji7HQZ4qwcPNkNA","Junior H","MIENTRAS DUERMES","WEA Latina",9,9,52,"5115402"
12,"spotify:track:6xiQzVWczksJRBVbMDkV6A","Omar Camacho, Oscar Maydon","La Ciudad del Sol","Rico o Muerto by Baja Sound LLC",11,12,11,"4743552"
13,"spotify:track:0ejwu6GH5TeXx82YvO6XSN","Victor Mendivil","Orula","Rico o Muerto by Baja Sound LLC",1,7,5,"4571399"
14,"spotify:track:1a7onn7lPqqRWul5ogyMyX","Fuerza Regida","ANSIEDAD","Rancho Humilde/Street Mob Records/Sony Music Latin",7,14,27,"4554811"
15,"spotify:track:56bPsRfOKla3bGGmVz1uk4","Los Dareyes De La Sierra","Frecuencia","Double P Records",3,15,21,"4186327"
16,"spotify:track:3QJXJACwdZ3EaIqdF5ZiXh","Victor Mendivil, Neton Vega","King of Watches","Rico o Muerto by Baja Sound LLC",11,11,15,"4179278"
17,"spotify:track:0uQhDYHyoZe5DpncrPolb6","Junior H","LAS NOCHES","WEA Latina",16,16,22,"4161138"
18,"spotify:track:4ZOkfHC38nxSeSqzGE5HFr","Junior H","PIÉNSALO","WEA Latina",9,20,71,"3949220"
19,"spotify:track:5mp6OBKCAjN4UYRvhOuUze","Oscar Maydon, Fuerza Regida","Tu Boda","Rancho Humilde/Sony Music Latin",1,17,58,"3923416"
20,"spotify:track:31REg67eoHJSvMLUcEmGNj","La Arrolladora Banda El Limón De Rene Camacho","El Final De Nuestra Historia","Universal Music Mexico",16,22,125,"3810323"
21,"spotify:track:4oB8Xd7gMlUEtWoD8bmCXW","Neton Vega, Peso Pluma","Morena","Josa Records",1,18,38,"3767901"
22,"spotify:track:6RcAHyC5sAUIbPTkhOQwd8","Junior H","Y LLORO","WEA Latina",5,23,109,"3722715"
23,"spotify:track:3IcaWsnVb6NOsjtcuedsM8","Xavi, Grupo Frontera","No Capea","Interscope Records",17,21,9,"3678402"
24,"spotify:track:5CE77TLqLjOQ2qgAobzPds","Victor Mendivil","GOET","Rico o Muerto by Baja Sound LLC",24,28,73,"3610363"
25,"spotify:track:3BZUM1xojiL3TvRo3T50R9","Natanael Cano","Blancanieves","WEA Latina",6,35,20,"3575784"
26,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",15,26,46,"3524062"
27,"spotify:track:1lqSiPVISxVO0MC3b4l9ce","Victor Mendivil, $HUPE","PLAK","Rico o Muerto by Baja Sound LLC",17,24,15,"3498625"
28,"spotify:track:4B3cGux5Dy2VRYUbsqDj4M","Jimmy Guzman, Omar Camacho","3 AM","Lumbre Music",20,25,14,"3497726"
29,"spotify:track:5GTBdEjZe7zEDp1N0eCZE4","Peso Pluma, Estevan Plazola","HOLLYWOOD","2024 Double P Records",16,30,72,"3460115"
30,"spotify:track:6272S5nkbOvQDazRYq6muV","Fuerza Regida","caperuza","Rancho Humilde/Street Mob Records/Sony Music Latin",29,29,27,"3453870"
31,"spotify:track:5MBAaEt7s8El3WWhYinLzv","Oscar Maydon, Neton Vega","Amigos? No.","Rancho Humilde/Sony Music Latin",4,46,35,"3401590"
32,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",9,31,51,"3314768"
33,"spotify:track:24teIhDYO2RocTA2v5dY0r","Junior H","Extssy Model","WEA Latina",23,32,160,"3294375"
34,"spotify:track:2SkB7jADnfiWH8qAE9H8cO","Xavi, Manuel Turizo","En Privado","Interscope Records",14,27,39,"3249352"
35,"spotify:track:67BjeJkPgqHpkzlQveRoFh","Chuyin, Jorsshh, Calle 24","AMANECIDO Y REGAÑADO","Streetmob Records",35,-1,1,"3195352"
36,"spotify:track:2XQnrr8gsvuGcJmPfk18iE","Victor Mendivil, Oscar Maydon","Me Paseo","Rico o Muerto by Baja Sound LLC",30,40,15,"3181736"
37,"spotify:track:2JPctdUgvkQSpnUdfROxvY","Alemán, Neton Vega","Te Quería Ver","HOMEGROWN MAFIA S.A. DE C.V./Sony Music México-Latin",1,62,40,"3014087"
38,"spotify:track:3jS9G4KmuOwuawj3k4Smpc","Los Dareyes De La Sierra, Tito Double P","Vita Fer","Double P Records",2,33,32,"2993032"
39,"spotify:track:5lKFO0PrOC9jmOlPEdjHsL","Tito Double P, Peso Pluma","DOS DÍAS","2024 Double P Records",2,39,63,"2985446"
40,"spotify:track:2CshODtf7iwe3pKlPmEWF5","Junior H","TRES BOTELLAS","WEA Latina",26,36,109,"2926391"
41,"spotify:track:3IEvQ1CzszUJtTRLmmMJ2X","Tito Double P, Junior H","5-7","2024 Double P Records",10,37,63,"2926305"
42,"spotify:track:77pDO4WZPIdkwFve0iHWnb","Fuerza Regida","Por Esos Ojos","Rancho Humilde/Street Mob Records/Sony Music Latin",3,34,39,"2900963"
43,"spotify:track:2mdrVnxEnPR6iFijakkxQS","Young Cister, Kreamly","QLOO*","Sony Music Entertainment Chile S.A",23,42,14,"2893796"
44,"spotify:track:4N1dogCaVWnGyFdPjdqNWF","Clave Especial, Fuerza Regida","COMO CAPO","WEA Latina",5,72,37,"2825669"
