rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5wPTk2TCDDuQRfqkZukWnk","King Savagge, Lyon la f, Katteyes, Lewis Somes","Pasajero","King savagge",1,1,3,"2100580"
2,"spotify:track:4j5ZSTHkXQbV0c8EassD0N","Germanini, Lyon la f, JhonAlex, Nacho G Flow","Comando Estelar","Stars Music Chile 2024",1,2,16,"1580440"
3,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,3,72,"1373303"
4,"spotify:track:47aX1tXPTBpAG8Y2iAYmiy","Jere Klein, Katteyes, Mateo on the Beatz","TODO KE VER","2025 JERE KLEIN",1,5,17,"1159994"
5,"spotify:track:44xDy4h27s4ENaC8fKnCoC","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",5,13,7,"1062592"
6,"spotify:track:72aGCwuSwD5Qb3tHvXBoX3","Easykid, Dysbit","Shiny","Easykid",1,6,25,"1030764"
7,"spotify:track:2mdrVnxEnPR6iFijakkxQS","Young Cister, Kreamly","QLOO*","Sony Music Entertainment Chile S.A",1,4,28,"1021029"
8,"spotify:track:7nrd0eIftH3NQLfgk20Qp9","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)","WEA Latina",8,9,14,"1016249"
9,"spotify:track:2tZNPwTLefIc2hUasTohfB","Jere Klein, Bayriton, Adan La Amenaza","TU Y YO","2025 JERE KLEIN",1,8,6,"1015125"
10,"spotify:track:623kbEIDhzRFLVk1r8cBTm","W Sound, Cris MJ, Ovy On The Drums","Chica Galáctica - W Sound 07","WEA Latina",10,-1,1,"980923"
11,"spotify:track:5MjGl97aQlcBBvbYBHbXWv","Tobal Mj, Lyon la f, Nacho G Flow, Daimi","Te Vas","Tobal Mj",4,7,5,"943975"
12,"spotify:track:6jBoUckd6VEImt6pg8RpDr","Kidd Voodoo, JC Reyes","Me Mareo","Kidd Voodoo",3,11,24,"935862"
13,"spotify:track:1iTBWVDuQaQ7yMybZri66d","Kidd Voodoo","Destello...","Kidd Voodoo",1,12,17,"906038"
14,"spotify:track:4oVO4fGNRRvEn0CRuFO4qv","ROSALÍA, Yahritza Y Su Esencia","La Perla","Columbia",14,15,4,"875008"
15,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",2,22,41,"811371"
16,"spotify:track:2uPMsTEKx79gJ8rB3AcT0v","Bizarrap, Daddy Yankee","Daddy Yankee: Bzrp Music Sessions, Vol. 0/66","DALE PLAY Records",3,10,5,"804917"
17,"spotify:track:1wymfAgWxIHWuLI8gJdNO9","Jere Klein, Mateo on the Beatz","DEMONIAKA","2025 JERE KLEIN",3,14,10,"798420"
18,"spotify:track:2XsNvTXYuCNCoz94bPBrPB","Katteyes, Jere Klein, Lucky Brown","BAILAME ASI","KATTEYES LLC/Sony Music Latin",1,21,24,"759628"
19,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",9,16,25,"742955"
20,"spotify:track:1KfiYYMCZkP7no8DdkXFDl","Tobal Mj, Lucky Brown, Nacho G Flow","Tiene","Tobal Mj",3,28,40,"727057"
21,"spotify:track:7kfgRQbmicsoQyKJOl02xY","Lyon la f","DESEO","PEGAO COMPANY",13,20,15,"719503"
22,"spotify:track:1Ms2WIZyWzz1Z3RhX7WZRO","Lucky Brown, Big Cvyu","Qué Será","Lucky Brown",4,17,13,"713732"
23,"spotify:track:614NVFo5csQqRnryl4jXs2","Héctor ""El Father"", Wisin & Yandel","El Teléfono","Machete Music",23,25,26,"704565"
24,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",7,23,29,"690872"
25,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",19,19,19,"688303"
26,"spotify:track:1M9CdHPNe2DJ4rfn1iTSDS","Lyon la f, Nacho G Flow","NEBULA","pegao company",7,18,8,"669621"
27,"spotify:track:7bugn9Xif6VHCLco3PIZc5","Ovy On The Drums, Lucky Brown, Darell","NUBES","WEA Latina",10,24,38,"661713"
28,"spotify:track:6A8ZNt71PS4PuBtxbdXV0L","Cris MJ","30 Mil Pies","Sonar LLC.",7,26,8,"657962"
29,"spotify:track:0c27qjzqEgMLMnWTl5bCU8","benjitalkapone","Mambinho Brasileño","Nextlevel music",1,51,28,"645197"
30,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,30,48,"642683"
31,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",3,29,48,"638557"
32,"spotify:track:6wg4Cy4qOP12tmPYLtFnvI","SINAKA, Easykid","DESCONTROL","2025 Sinaka under exclusive license to BZR Music LLC",32,36,2,"625966"
33,"spotify:track:5pP5sfmqaecBT2d20aXB2i","Bayron Fire, l3tter","Tu Pelo Negro","Bayron Fire",26,27,13,"609901"
34,"spotify:track:4aDbrgm1ZaebS1Bb2dOXac","Milo j","Niño","Sony Music Latin",25,31,10,"601776"
35,"spotify:track:40ITk1Q3t8QTGgtzK8KPZE","Lucky Brown, Tobal Mj, Nacho G Flow","Zona","Lucky Brown",3,33,22,"591297"
36,"spotify:track:3nDhIGkMvnsd8zo5u6eD05","Kidd Voodoo, Jere Klein, Swift 047","WHISKY A LA ROCA","Kidd Voodoo",2,35,46,"586657"
37,"spotify:track:6g1u7IdhcA9rZUV3Pizsj8","SINAKA","SENDA BELLAKONA","2025 Sinaka under exclusive license to BZR Music LLC",37,62,2,"579770"
38,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",4,47,55,"568305"
39,"spotify:track:66SPJjUrKWF1FgvIqskr6n","Jere Klein, Adan La Amenaza","NO ME DIGAS","2025 JERE KLEIN",39,-1,1,"560556"
40,"spotify:track:4mvD8af1IQary3hoe0KgOU","Lucky Brown, Jere Klein, Nes","Bella","Lucky Brown",1,38,30,"559447"
41,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",22,34,23,"556177"
42,"spotify:track:5kK8aTkR4QGcUx3UiVmOqA","Lucky Brown, Jere Klein, Fran C","Amor Escondido","Lucky Brown",11,40,30,"545489"
43,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",1,43,48,"544384"
44,"spotify:track:4zhk2RS2EZODmBW6il55Qj","Beéle, Ovy On The Drums","mi refe","5020 Records",10,32,50,"538536"
45,"spotify:track:0neouvsGp68ZH1D92bsMVQ","Eloy, Randy Nota Loca","Fuera del Planeta","All In Music",39,46,24,"532270"
46,"spotify:track:2uwWTt4mRTkV1MHAun4JNv","Julianno Sosa, benjitalkapone, Jairo Vera","y ke pa - Remix","SOSA MAFIA",4,37,30,"529439"
