rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:44xDy4h27s4ENaC8fKnCoC","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",1,1,49,"9713802"
2,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",1,3,31,"8792411"
3,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",1,6,31,"8704014"
4,"spotify:track:2GP6UzoA55p6yYiPCGyEhg","Omar Camacho, Victor Mendivil","2+2","Rico o Muerto by Baja Sound LLC",1,7,23,"7985812"
5,"spotify:track:3qdeRGn9erK9sjs1kUtBys","Fuerza Regida","CHAVALITAS","Rancho Humilde/Street Mob Records/Sony Music Latin",2,2,25,"7981668"
6,"spotify:track:4NyUIohBa3CEMGcXURYSOh","Herencia De Grandes","Ya Borracho","Rancho Humilde",4,4,3,"7383505"
7,"spotify:track:33MeEaRCeIQMSRyFTr5ZJU","Neton Vega","Pvta Luna","Josa Records (Neton Vega)",5,8,10,"7036055"
8,"spotify:track:4e76Ss3ji7HQZ4qwcPNkNA","Junior H","MIENTRAS DUERMES","WEA Latina",8,11,56,"6089128"
9,"spotify:track:48Z9ixFIkuzJMATvfFJHIz","Peso Pluma, Tito Double P","intro","Double P Records",9,9,2,"5869565"
10,"spotify:track:7585wxMp2e3IhBq3tJAXgw","Calle 24","SUIZA","WEA Latina",4,5,32,"5797050"
11,"spotify:track:0N6h5RnzCNJG3JfROXQIMQ","Natanael Cano, Gabito Ballesteros","Perlas Negras","WEA Latina",1,10,23,"5248400"
12,"spotify:track:1eunv1DeEi29UfAcVEoLTt","Tito Double P","POR SUS BESOS","Double P Records",1,14,21,"5149100"
13,"spotify:track:6xiQzVWczksJRBVbMDkV6A","Omar Camacho, Oscar Maydon","La Ciudad del Sol","Rico o Muerto by Baja Sound LLC",11,16,15,"4742464"
14,"spotify:track:1a7onn7lPqqRWul5ogyMyX","Fuerza Regida","ANSIEDAD","Rancho Humilde/Street Mob Records/Sony Music Latin",7,13,31,"4536328"
15,"spotify:track:77pDO4WZPIdkwFve0iHWnb","Fuerza Regida","Por Esos Ojos","Rancho Humilde/Street Mob Records/Sony Music Latin",3,19,43,"4419158"
16,"spotify:track:6IMTgx19KOecnpXmbkgkyN","Victor Mendivil, Eladio Carrion","Cholo 2","Rico o Muerto by Baja Sound LLC",16,23,2,"4359517"
17,"spotify:track:2AWY8422GKdGpGw6ejB1Ys","Luis R Conriquez, Fuerza Regida, Neton Vega","Chula Vente","K Music/Sony Music Latin",2,17,19,"4315671"
18,"spotify:track:6RcAHyC5sAUIbPTkhOQwd8","Junior H","Y LLORO","WEA Latina",5,24,113,"4299840"
19,"spotify:track:4ZOkfHC38nxSeSqzGE5HFr","Junior H","PIÉNSALO","WEA Latina",9,26,75,"4190497"
20,"spotify:track:4oVO4fGNRRvEn0CRuFO4qv","ROSALÍA, Yahritza Y Su Esencia","La Perla","Columbia",15,15,4,"4065451"
21,"spotify:track:0uQhDYHyoZe5DpncrPolb6","Junior H","LAS NOCHES","WEA Latina",12,12,26,"4033718"
22,"spotify:track:30ECWSoejTkHDqo0yMpf6y","Virlan Garcia","Mi Entorno","La Cima Records",22,22,7,"4003779"
23,"spotify:track:0ejwu6GH5TeXx82YvO6XSN","Victor Mendivil","Orula","Rico o Muerto by Baja Sound LLC",1,25,9,"3944539"
24,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",15,20,50,"3846126"
25,"spotify:track:24teIhDYO2RocTA2v5dY0r","Junior H","Extssy Model","WEA Latina",23,37,164,"3837036"
26,"spotify:track:6272S5nkbOvQDazRYq6muV","Fuerza Regida","caperuza","Rancho Humilde/Street Mob Records/Sony Music Latin",21,21,31,"3797107"
27,"spotify:track:4oB8Xd7gMlUEtWoD8bmCXW","Neton Vega, Peso Pluma","Morena","Josa Records",1,32,42,"3761060"
28,"spotify:track:4B3cGux5Dy2VRYUbsqDj4M","Jimmy Guzman, Omar Camacho","3 AM","Lumbre Music",20,29,18,"3572845"
29,"spotify:track:31REg67eoHJSvMLUcEmGNj","La Arrolladora Banda El Limón De Rene Camacho","El Final De Nuestra Historia","Universal Music Mexico",16,28,129,"3524688"
30,"spotify:track:6r6IPuFvUX72kQGc9b46rk","Emmanuel Cortes","Amor","RC Music",17,27,77,"3507575"
31,"spotify:track:56bPsRfOKla3bGGmVz1uk4","Los Dareyes De La Sierra","Frecuencia","Double P Records",3,18,25,"3484783"
32,"spotify:track:5mp6OBKCAjN4UYRvhOuUze","Oscar Maydon, Fuerza Regida","Tu Boda","Rancho Humilde/Sony Music Latin",1,33,62,"3466395"
33,"spotify:track:5GTBdEjZe7zEDp1N0eCZE4","Peso Pluma, Estevan Plazola","HOLLYWOOD","2024 Double P Records",16,34,76,"3429416"
34,"spotify:track:3BZUM1xojiL3TvRo3T50R9","Natanael Cano","Blancanieves","WEA Latina",6,30,24,"3383080"
35,"spotify:track:1lqSiPVISxVO0MC3b4l9ce","Victor Mendivil, $HUPE","PLAK","Rico o Muerto by Baja Sound LLC",17,41,19,"3325799"
36,"spotify:track:2CshODtf7iwe3pKlPmEWF5","Junior H","TRES BOTELLAS","WEA Latina",26,49,113,"3278119"
37,"spotify:track:5CE77TLqLjOQ2qgAobzPds","Victor Mendivil","GOET","Rico o Muerto by Baja Sound LLC",24,31,77,"3202255"
38,"spotify:track:3D24ErT1MMmUfXWotSj2A2","Fuerza Regida, Grupo Frontera","ME JALO","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",5,47,50,"3196514"
39,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",10,35,22,"3185112"
