rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
141,"spotify:track:7k3qWn8D43a5ISa3x8lJux","Anuel AA","¿Qué Nos Pasó?","Real Hasta La Muerte, LLC",126,191,12,"408329"
142,"spotify:track:2ANtIUI9cipWNI685VdlZb","Pablo Chill-E","Resentia","G STARR ENT",11,164,55,"408139"
143,"spotify:track:4dLLdfiniBhDP9dlJQIOi4","Los Ángeles Azules, Emilia","Perdonarte, ¿Para Qué?","OCESA Seitrack",1,140,89,"407100"
144,"spotify:track:0u6JsFiEEXb6kaF0oqyeFi","Luck Ra, La K'onga, Ke Personajes","Ya No Vuelvas (Versión Cuarteto)","Sony Music Entertainment Chile S.A",1,123,166,"405945"
145,"spotify:track:5tKgOSJzrdsxQSI7Wzbpfg","La Delio Valdez, Ke Personajes","Adiós Amor","Delirio Valdez Records",55,120,59,"405512"
146,"spotify:track:4SJHHpKhcuXwDsCsPqshXj","Rauw Alejandro, Chencho Corleone","El Efecto","Duars Entertainment, Corp.",30,128,118,"405135"
147,"spotify:track:3TQozt8h0YlDD6tFItl5x3","Olivia Wald, Q' Lokura","en la cara - En Vivo","Cascabel",47,136,54,"400910"
148,"spotify:track:4JLedgJ80MsjcJBiFdqnFb","Pinky SD, Un Poco de Ruido, Q' Lokura","Me Duele Tu Nombre","Pinky SD",100,117,22,"399274"
149,"spotify:track:0JoHqmlqE0W0i9prt6kcHR","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Sony Music Latin",17,154,94,"399000"
150,"spotify:track:4HuCvSUsveC5jCbYE5qllc","La T y La M, Sael","Aquellos Tiempos","GraceMusic",86,155,24,"397404"
151,"spotify:track:35ttE4t8lQZA2vuCYDg4G7","Milo j","M.A.I","DALE PLAY Records",11,161,109,"395676"
152,"spotify:track:6hl4VqVrqMgHYibqtmjpI7","TINI","Una Noche Más","5020 Records",27,152,17,"394713"
153,"spotify:track:1CSdu8EHZzV0DjYB6RNXbX","Maria Becerra, Rei, XROSS","MI AMOR","WEA Latina",32,127,11,"392449"
154,"spotify:track:6q41qt2R9K8BXEzmzImEGO","Intoxicados, Andrés Calamaro","Fuego","Pop Art",86,168,22,"391347"
155,"spotify:track:7xMgYr3vg1fgbbLZp1UiGc","Cumbia rocha","Suena en la Previa Vol. 3","cumbia rocha",131,173,9,"391042"
156,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",156,175,2,"388462"
157,"spotify:track:3KAdpFK7rveKAAwpgjwhNn","Eugenia Quevedo, La banda de Carlitos","Como Lo Hizo? - En Vivo","Eugenia Quevedo",60,133,43,"388436"
158,"spotify:track:0OcYoSGA1CFGZcCuPLyfhj","Airbag","Solo aquí","WM Argentina",71,170,30,"387279"
159,"spotify:track:2Cl4HCBmPddQNZEncdoXp0","Feid, ICON","FERXXO 151","UMLE - Latino",142,153,9,"386301"
160,"spotify:track:6PaIQ2qR59qiqXgjeTFwJA","DesaKTa2","La Diabla","Almenara Network",124,151,12,"383389"
161,"spotify:track:3sc0Wv64rOuIRVkQO7rrer","Milo j","Bajo De La Piel","Sony Music Latin",15,178,22,"383042"
162,"spotify:track:6BHlafXY1L2eetDCwict05","Patricio Rey y sus Redonditos de Ricota","La Bestia Pop","Patricio Rey Discos",151,200,11,"378188"
163,"spotify:track:7ns16ylM6sbxo9ZWIwyE5d","Danny Ocean, Kapo","Imagínate","Atlantic Records",32,157,31,"376683"
164,"spotify:track:7LABrQFfRYcZUqUwng0Heb","Yandel","Encantadora","Sony Music Latin",148,158,19,"375084"
165,"spotify:track:7JKptWv4YXmievid0HajID","Luck Ra, KHEA","HOLA PERDIDA","Sony Music Entertainment Chile S.A",1,150,109,"373625"
166,"spotify:track:3QwBODjSEzelZyVjxPOHdq","Zion & Lennox, J Balvin","Otra Vez (feat. J Balvin)","WEA Latina",5,163,103,"372903"
167,"spotify:track:0ZyNiSXRbq68lmBjV0vJkR","Babasonicos","En Privado","Universal Music Argentina S.A.",107,-1,25,"369669"
168,"spotify:track:5AK6QqM8aUXXTk6oY00ZRh","Yan Block, De La Rose, Hades66, Ñengo Flow","444 - Remix","SONAR LLC.",48,182,8,"366962"
169,"spotify:track:1iEwyiSLAunPR6uouANE0O","Maluma","El Perdedor","Sony Music Latin",62,-1,31,"366918"
170,"spotify:track:3JCian69xIfy8A4799Og5f","Airbag","Ganas de Verte","Pop Art",139,195,7,"366732"
171,"spotify:track:6vb5LWthEuPO27V5XH7G9K","DesaKTa2","Entra En Mi vida / La De La Mala Suerte - En Vivo","Almenara Network S.A.S",14,167,30,"366031"
172,"spotify:track:1fU2DcwVJEuUvGV3mUam8T","La Delio Valdez","Inocente","Delirio Valdez Records",41,149,195,"365849"
173,"spotify:track:2wsfPRyzSU7LgqjvoxmY5q","Emanero, Karina, j mena, Angela Torres","SINVERGÜENZA - con Angela Torres","Fifty One",14,174,113,"361645"
174,"spotify:track:3SyKG06yOK3omo29EwZ8dP","Mancha De Rolando","Arde la Ciudad","Pop Art",133,190,82,"361454"
175,"spotify:track:2kDMRh2WArMvjE1rPqnHzd","Eugenia Quevedo, La banda de Carlitos","Con Otra - En Vivo","Eugenia Quevedo",76,162,35,"360556"
176,"spotify:track:1DrDfpOx4P4LMxFhtOmeyD","Plan B","Fanatica Sensual","Pina Records",122,-1,26,"360150"
177,"spotify:track:4DS7HoqrKq1dDjeYOKBlu9","Trap Capos, Noriel, Bad Bunny, Arcángel","De las 2 (feat. Bad Bunny & Arcángel)","Sony Music Latin/Ganda Entertainment",105,-1,14,"359705"
178,"spotify:track:4mZHvbJWkK9uVmD9SvHKao","Patricio Rey y sus Redonditos de Ricota","Tarea Fina","Patricio Rey Discos",152,185,11,"359050"
179,"spotify:track:1C7NXX8UJ6pgNx8EkmyZDd","Beéle","si te pillara","5020 Records",16,156,32,"358870"
180,"spotify:track:5rQSQlZXXjMcevPGoAfE1z","Salastkbron, Diel Paris","Un Besito Más","WEA Latina",2,-1,67,"358717"
181,"spotify:track:30vXLQ9yPEKdTNGHYik0iR","Tan Bionica, Airbag","Tus Cosas (feat. Airbag)","DALE PLAY Records",10,-1,12,"357585"
182,"spotify:track:2kB1rqoTaZ3j6ChtIWGurm","Viejas Locas","Me Gustas Mucho","Universal Music S.A.",66,-1,85,"355687"
183,"spotify:track:6yyrsrci6u2nreFlhXSy3J","Los Cafres","Tus Ojos","Pop Art",156,-1,10,"353890"
184,"spotify:track:7eNwwoxDR8KVzNAuGvliAO","Omar Courtz, De La Rose, Haze","Kyoto","House of Haze",33,194,78,"352428"
185,"spotify:track:6JAaPxRPeElmUGPqyIkhCS","RAMKY EN LOS CONTROLES, The La Planta","FINGI DEMENCIA","1.8M",50,-1,22,"352142"
186,"spotify:track:3ayHT7okY784fCWMYDbspt","Indio Solari, Los Fundamentalistas del Aire Acondicionado","Había una Vez...","Luzbola",150,-1,3,"349868"
187,"spotify:track:1nYD14iq9R9CBUK8UvBjkK","Patricio Rey y sus Redonditos de Ricota","Vencedores Vencidos","Patricio Rey Discos",142,-1,13,"348929"
188,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",20,-1,70,"348261"
189,"spotify:track:6Soxxi73U6SO4rOGJwYYxI","Los Piojos","Tan Solo","El Farolito Discos",53,197,164,"348019"
