rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,1,90,"1360726"
2,"spotify:track:1bot94AA9sDNpktYCHmN78","Jere Klein, Jairo Vera, Gittobeatz","DUBAI","2026 JERE KLEIN",1,3,8,"961035"
3,"spotify:track:1tz7RZirwiuaJw2p0jbdHb","Omar Courtz","KOKO","Rimas Entertainment LLC.",3,8,7,"947485"
4,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",2,2,3,"905139"
5,"spotify:track:2KpDYs0MexRXVAqNoHhJwk","Katteyes, SINAKA","ALO","Rimas Entertainment LLC.",1,4,10,"877594"
6,"spotify:track:6g1u7IdhcA9rZUV3Pizsj8","SINAKA","SENDA BELLAKONA","2025 Sinaka under exclusive license to BZR Music LLC",1,6,20,"756347"
7,"spotify:track:5sX4UiPdOdndSEWA6asUgh","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante - Remix","El Bogueto",3,5,16,"750831"
8,"spotify:track:5AchK5XMO4AwN99yYcDPQc","Jairo Vera, Juhn","Troka","WM Chile",7,7,10,"700790"
9,"spotify:track:3av1uwgFJsDxdb3eI7WfN6","Jere Klein, Valdi","ARABE","2026 JERE KLEIN",5,9,5,"686848"
10,"spotify:track:1YAWMfsmduIrpqrjP45pFn","Omar Courtz, Ñengo Flow","FOREVER TU GANTEL","Rimas Entertainment LLC.",9,10,7,"674939"
11,"spotify:track:0MmbPDBxrlSLSgcfZPrGe0","Maria Becerra, Jere Klein, Lucky Brown, XROSS","QUÉ GANAS DE COMERTE","WEA Latina",11,12,2,"669467"
12,"spotify:track:379EbsgApFcHYHvv6vrKgD","Cris MJ","Presidente","SONAR LLC.",12,-1,1,"615007"
13,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,13,66,"604701"
14,"spotify:track:7xjFEvchFCiAmuseCBModI","Pablo Chill-E, Ñengo Flow, Jere Klein","Bastardo (feat. Ñengo Flow & Jere Klein)","G STARR ENT",3,14,101,"602845"
15,"spotify:track:595wwjQiad6e6lSTScmXvz","Omar Courtz","POR SI MAÑANA NO ESTOY","Rimas Entertainment LLC.",15,25,7,"579233"
16,"spotify:track:5SudOD9R1Of6CsJVWZy6CQ","Romeo Santos, Prince Royce","Dardos","Sony Music Latin",14,23,16,"575098"
17,"spotify:track:4j5ZSTHkXQbV0c8EassD0N","Germanini, Lyon la f, JhonAlex, Nacho G Flow","Comando Estelar","Stars Music Chile 2024",1,19,34,"573492"
