rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,1,3,"1408140"
2,"spotify:track:4AL4EamHEBKPpdcFRkYdXN","Lauta, Amigo de Artistas, Tote","Puñaladas","LEB Records",2,4,13,"1276409"
3,"spotify:track:1YAWMfsmduIrpqrjP45pFn","Omar Courtz, Ñengo Flow","FOREVER TU GANTEL","Rimas Entertainment LLC.",3,3,7,"1268167"
4,"spotify:track:2ZyrAym0sRLwt4PhGotHuI","Ryan Castro, Kapo, Gangsta","LA VILLA","AWOO Corp./Sony Music Latin",1,2,14,"1199866"
5,"spotify:track:5sX4UiPdOdndSEWA6asUgh","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante - Remix","El Bogueto",2,7,16,"1138744"
6,"spotify:track:6UO9DhCUq4ZbQz7PXwelFV","Max Carra","UWAIE - versión cumbia","Max Carra",2,6,62,"1135699"
7,"spotify:track:5Nnd7tvjwHjexXjhbl0WSD","TINI, Ulises Bueno","Dos Amantes","Sony Music Latin",5,5,3,"1090848"
8,"spotify:track:3TfRpsYPQSXqqramSoWlNg","La T y La M","Soy Favela","Sony Music Uruguay",2,8,18,"1072180"
9,"spotify:track:1tz7RZirwiuaJw2p0jbdHb","Omar Courtz","KOKO","Rimas Entertainment LLC.",9,14,6,"1037747"
10,"spotify:track:595wwjQiad6e6lSTScmXvz","Omar Courtz","POR SI MAÑANA NO ESTOY","Rimas Entertainment LLC.",10,13,7,"1035512"
11,"spotify:track:6N2iccqxRInhTLHc2Fu3W0","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",1,9,27,"967796"
12,"spotify:track:7z26frY6O7BXwyjeqzYo7W","PEDRO SAMPAIO, Emilia, MC Meno K, Melody","JETSKI - Remix","Sony Music Entertainment",11,11,7,"936917"
13,"spotify:track:6X8DTIJEgHUjZynuds0E2f","Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES","Tu jardín con enanitos","Sony Music Uruguay",1,10,46,"902196"
14,"spotify:track:1H7ktqkQx1PIuPfNtqvaBs","Airbag","Pensamientos","Pop Art",13,15,58,"879763"
15,"spotify:track:6dT5W7zuEcUZHnZuVlSIJ5","Los Huayra","La Noche Sin Tí","EMI Argentina",15,19,107,"872040"
16,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,12,66,"867657"
17,"spotify:track:0MmbPDBxrlSLSgcfZPrGe0","Maria Becerra, Jere Klein, Lucky Brown, XROSS","QUÉ GANAS DE COMERTE","WEA Latina",17,17,2,"860276"
18,"spotify:track:61qPUnazSdkvua4wgA4L8C","Babasonicos","Como Eran Las Cosas","Universal Music Argentina S.A.",11,24,160,"793387"
19,"spotify:track:5EGVGkRRJ2udpRnVGpx8LM","Tan Bionica","Obsesionario en La Mayor","DALE PLAY Records",19,30,148,"787803"
20,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",3,16,38,"762773"
21,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,21,66,"730904"
22,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",6,22,66,"723910"
23,"spotify:track:5MKbWaXeSQSmzmo7gPQha1","La T y La M, Malandro","Amor de Vago","GraceMusic",1,28,83,"720492"
24,"spotify:track:4aDbrgm1ZaebS1Bb2dOXac","Milo j","Niño","Sony Music Latin",6,26,28,"711411"
25,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,25,58,"707843"
26,"spotify:track:1yG1za0O6OK6sKa79xGtsA","De La Rose","Yo te conozco :):","WEA Latina",20,20,7,"707201"
27,"spotify:track:2rKkfc4VZ74FQDc1FF1Zo6","BTS","Body to Body","BIGHIT MUSIC",9,18,3,"693162"
28,"spotify:track:0CgpCtEPvyDizcg2p47VrU","No Te Va Gustar","A las Nueve","Elefante Blanco",27,41,380,"674499"
29,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",4,27,66,"666510"
30,"spotify:track:5vHWh24GAsXJ7tnIu8v7UN","Airbag","Por Mil Noches","DALE PLAY Records / Airbag",18,36,325,"662563"
31,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",8,32,46,"649352"
32,"spotify:track:20dAJsyno9ZoBLJtqgQnUI","BTS","Hooligan","BIGHIT MUSIC",13,23,3,"647109"
33,"spotify:track:4oVO4fGNRRvEn0CRuFO4qv","ROSALÍA, Yahritza Y Su Esencia","La Perla","Columbia",1,29,22,"637007"
34,"spotify:track:5Bi9Cq5oVFy1OtUgecbegZ","Callejeros","Creo","Pelo Music S.A.",34,44,353,"633684"
35,"spotify:track:1Zh6HllrXT0Khrwk2j3TrZ","La T y La M","No Se Va","GraceMusic",22,31,76,"628696"
36,"spotify:track:6pryujEohwqSNKGTW33SKE","Callejero Fino, Lea in the Mix","NO LES DA","DALE PLAY Records",36,51,6,"627885"
37,"spotify:track:0ZAJ660VP57lLK4U7NlGOy","Intoxicados","Nunca quise","Pop Art",37,55,480,"615705"
38,"spotify:track:3bmpXHVie1GTy37OkXJ7Vc","BTS","2.0","BIGHIT MUSIC",22,35,3,"611634"
39,"spotify:track:44m9PAUZYeOEGeaTYh6NAl","No Te Va Gustar, Juan Casanova","Tan Lejos","Elefante Blanco",28,50,193,"609494"
40,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",8,33,66,"587249"
41,"spotify:track:7yNf9YjeO5JXUE3JEBgnYc","Dominic Fike","Babydoll","Columbia",41,69,4,"574390"
42,"spotify:track:1rh4kDY9T4fHVDum8Foi5k","Gustavo Cerati","Adiós","Ariola",42,62,171,"562410"
43,"spotify:track:7upAH0ezzsThyvr33YKn4u","Turf","Pasos Al Costado","Pop Art",43,56,407,"558210"
44,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",1,68,209,"554260"
45,"spotify:track:7CMj1OOS1ho4CPEQTFKzcN","Young Cister, Kreamly","QLOO*","Sony Music Entertainment Chile S.A",2,43,41,"553675"
46,"spotify:track:67Q93kXygxCskeQiIP0V0j","Ciro y los Persas","Me Gusta","300 Producciones",46,79,476,"550216"
47,"spotify:track:2dd3G3ZqEcG2cNS1tp3oEk","Alleh, Yorghaki","capaz (merengueton)","La Ciudad",3,49,65,"547229"
48,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",5,42,66,"547135"
49,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",4,46,43,"539368"
50,"spotify:track:6C1RD7YQVvt3YQj0CmuTeu","Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz","Diles","Rimas Entertainment LLC",25,48,115,"537538"
51,"spotify:track:5zpZUFF7YyPG90nkR88RYd","Babasonicos","Puesto","Universal Music Argentina S.A.",37,77,62,"533048"
52,"spotify:track:0KmrKOdScRDVYwWS8hkkdv","BTS","FYA","BIGHIT MUSIC",15,34,3,"530829"
53,"spotify:track:0fLOPPoyIaPTe8dm2Mrft3","Anuel AA","Tú No Lo Amas","2018 Real Hasta La Muerte, Inc.",53,70,23,"530594"
54,"spotify:track:06BpwwnyaWnR1F60j1MNOg","Tan Bionica","Loca","DALE PLAY Records",54,93,99,"527327"
55,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",28,57,178,"522244"
56,"spotify:track:2IFND3phjzIG1RcPnHh2hP","BTS","Like Animals","BIGHIT MUSIC",21,37,3,"520460"
57,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",14,54,73,"518261"
58,"spotify:track:5tg21NdePCn5m8F9BXOEeJ","BTS","Aliens","BIGHIT MUSIC",17,39,3,"515732"
59,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",7,66,198,"512601"
60,"spotify:track:2BwO5K8Q7EPAJSGze3AAh9","Sabrina Carpenter","Manchild","Island Records",40,58,17,"507464"
61,"spotify:track:4B4Q7zfd0aHcuhQBfCRnH5","BTS","NORMAL","BIGHIT MUSIC",23,40,3,"505964"
62,"spotify:track:5dDlknAL9imbXXl7uG7oqe","Omar Courtz","⁠LUCES DE COLORES","Mr.305 Records / Rimas Entertainment LLC.",62,73,46,"503257"
63,"spotify:track:7xjFEvchFCiAmuseCBModI","Pablo Chill-E, Ñengo Flow, Jere Klein","Bastardo (feat. Ñengo Flow & Jere Klein)","G STARR ENT",54,59,14,"501127"
64,"spotify:track:2lg4MDfkK2ya3dEAFu6Wh8","Felix Record","Cuentame","Felix Record",46,95,15,"499199"
65,"spotify:track:4MUrUT38U98olfnyzMBCzm","Bad Bunny","KLOuFRENS","Rimas Entertainment LLC.",14,64,66,"491581"
66,"spotify:track:4OsBqqMwFabHATATT527tH","Myke Towers, Quevedo","SOLEAO","WEA Latina",4,47,45,"491081"
67,"spotify:track:0b61A7v9agI08BG21jJPQ9","BTS","they don’t know ’bout us","BIGHIT MUSIC",27,45,3,"490947"
68,"spotify:track:6d4d6cwiAf59mKxoRmXQoK","Babasonicos","Irresponsables","Pop Art",30,74,114,"486295"
69,"spotify:track:0AXKoQuC2NQ8S2QRF0Gu02","Plan B","Fronteo","Pina Records",9,60,43,"478480"
70,"spotify:track:1LiN0Z98FkR1t0m8KmLcAH","Anuel AA, Haze","Amanece","House of Haze",10,96,196,"471851"
71,"spotify:track:4ON0spZpKuq6LfxITWgkcV","Ricky Martin, Los Ángeles Azules, TINI","Vuelve","Sony Music Latin",61,61,2,"466163"
72,"spotify:track:5DdLSEyKh8zgCrJq2hFj92","Yan Block, TORRRES","Yo sé","SONAR LLC.",11,83,66,"465384"
73,"spotify:track:23FJGRug9hlYUIBnrmkIBX","Airbag","Cicatrices","DALE PLAY Records / Airbag",41,88,103,"465026"
74,"spotify:track:0h54mLixODOqU6vTcZMqVM","Omar Courtz, ROA","WO OH OH","Rimas Entertainment LLC.",60,94,7,"462914"
75,"spotify:track:3VegC0PZiHjGxb80DER8XU","BTS","Merry Go Round","BIGHIT MUSIC",28,52,3,"461219"
76,"spotify:track:6MuJUSYCqA4FpMogUHzb2R","No Te Va Gustar","Ese Maldito Momento","Elefante Blanco",28,111,229,"460717"
77,"spotify:track:3ydweVPwq9PCEVJ8WwqT6u","Los Auténticos Decadentes","Loco (Tu Forma De Ser)","RCA Records Label",75,91,41,"459571"
78,"spotify:track:0oCiPqIEL5218yu2D996eP","Los Piojos","Bicho de Ciudad","300 Producciones",68,82,69,"455192"
79,"spotify:track:1p7m9H4H8s0Y7SgRm7j3ED","Andrés Calamaro","Flaca","DRO/EastWest Spain",61,108,395,"453949"
80,"spotify:track:6kUopck7LHVadAjAFcXiTj","Patricio Rey y sus Redonditos de Ricota","Un Ángel para Tu Soledad","Patricio Rey Discos",58,81,185,"452379"
81,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",15,102,29,"452199"
82,"spotify:track:2Xetks48zQL2K7xUbJBHRn","Q' Lokura, Los Herrera","Cuidado Que Te Supero","Q' Lokura",40,67,100,"446424"
83,"spotify:track:6iCnJkKswtMYoSmT58HmEn","Los Auténticos Decadentes","Un Osito de Peluche de Taiwán","Pop Art",44,110,47,"446397"
84,"spotify:track:7sChwC2NZjGc2Kdni3hlDg","Yan Block, Panda Black","Talento","Sonar LLC.",53,85,14,"445907"
85,"spotify:track:2ANtIUI9cipWNI685VdlZb","Pablo Chill-E","Resentia","G STARR ENT",11,92,64,"445514"
86,"spotify:track:6cFf4Jfy7ThUwGzbqFcZsx","Estelares, Jorge Serrano","Ella Dijo","Pop Art",56,114,102,"443244"
87,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",12,98,38,"442378"
88,"spotify:track:1o4xkdBe0RjSf2u6VXi4OI","Yan Block, Panda Black","444","SONAR LLC.",24,103,61,"441991"
89,"spotify:track:614NVFo5csQqRnryl4jXs2","Héctor ""El Father"", Wisin & Yandel","El Teléfono","Machete Music",39,78,27,"441402"
90,"spotify:track:60IzIxSuVAtU71yCmHjxHH","Las Pelotas","Será","Pop Art",90,117,50,"438721"
91,"spotify:track:4fhQ48hixjThGi2za030We","Los Manseros Santiagueños","Eterno Amor","Los Manseros Santiagueños",84,84,18,"437519"
92,"spotify:track:3NlHH9zJ9uGXkm6NJDbLnO","El Plan De La Mariposa","Túnel de la Vida","Savia Records",72,113,40,"436313"
93,"spotify:track:5jgmQkVypORb3enASCxjYs","Milo j, Trueno","Gil","Sony Music Latin",17,75,28,"435951"
94,"spotify:track:6kPCcIAGoTeRrh8qrmKa90","Tiago PZK, Ke Personajes","Piel","WEA Latina",2,89,114,"432918"
95,"spotify:track:5SudOD9R1Of6CsJVWZy6CQ","Romeo Santos, Prince Royce","Dardos","Sony Music Latin",77,101,13,"430881"
96,"spotify:track:2F6PBqz7aPA7K309aFKMHt","Cazzu","Con Otra","DALE PLAY Records / RIMAS Entertainment LLC",6,90,55,"429980"
97,"spotify:track:65DBZofI0b79kfHTcWWDuU","Soda Stereo","Trátame Suavemente - Remasterizado 2007","Columbia",56,107,435,"428927"
98,"spotify:track:7rfYGYxsZzQAhlJy5B0IcW","Maria Becerra, TINI, XROSS","HASTA QUE ME ENAMORO","WEA Latina",8,53,29,"425542"
99,"spotify:track:6s3w7SUVtmm68Bw5KrKMh0","BTS","One More Night","BIGHIT MUSIC",36,71,3,"423574"
100,"spotify:track:2jEjxOyKqMpkcThWl697hf","Babasonicos","El Loco","Pop Art",60,129,70,"422823"
101,"spotify:track:1oghNMGW42IhtQPNU6leZz","Omar Courtz","VAMOaCOCHI","Rimas Entertainment LLC.",96,119,6,"422721"
