rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:136BeIIoBGrrU9fI1jbcDR","Peso Pluma, Tito Double P","daño","Double P Records",1,2,15,"7379412"
2,"spotify:track:3e32UUqXzrI4g2y5kNZrwC","Peso Pluma, Tito Double P","dopamina","Double P Records",1,1,15,"7152991"
3,"spotify:track:33MeEaRCeIQMSRyFTr5ZJU","Neton Vega","Pvta Luna","Josa Records (Neton Vega)",1,3,28,"6959582"
4,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",4,4,3,"6414071"
5,"spotify:track:4lzo6zPM2paqyP8oBp3DOs","Peso Pluma, Tito Double P","7-3","Double P Records",2,5,15,"5888155"
6,"spotify:track:5Q4HTsEGKanxOwL1nYCnhQ","Peso Pluma, Tito Double P, LENCHO","chiclona","Double P Records",4,7,6,"5659369"
7,"spotify:track:0Sa8aRfGckW0qUGLrBwoBG","Lenin Ramírez","Todo Lo Fue","DEL Records",2,6,12,"5644050"
8,"spotify:track:4NyUIohBa3CEMGcXURYSOh","Herencia De Grandes","Ya Borracho","Rancho Humilde",4,8,21,"5331816"
9,"spotify:track:2GP6UzoA55p6yYiPCGyEhg","Omar Camacho, Victor Mendivil","2+2","Rico o Muerto by Baja Sound LLC",1,9,41,"5242595"
10,"spotify:track:2A2x5MZB5OrnnKkVOxx5dp","Peso Pluma, Tito Double P","tu con el","Double P Records",10,10,15,"4895950"
11,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",1,12,49,"4691182"
12,"spotify:track:1nkrOMcNi5TAwYWDQAOaB3","Omar Camacho, Victor Mendivil, Angel Almaguer, $HUPE","4x4","Rico o Muerto Music",5,11,12,"4320530"
13,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",1,18,49,"4267886"
