rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
184,"spotify:track:2mLTxNa0bwZX8eNBsuODLX","Camilo, Carín León","Una Vida Pasada","Sony Music Latin/Hecho a Mano (HAMM)",86,182,53,"231877"
185,"spotify:track:482PEx8hfMHSsuGtHd960A","Kapo","OHNANA","Sony Music Latin/La Industria",12,154,62,"231706"
186,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",118,185,19,"230336"
187,"spotify:track:5nJaS3PEpyPfaWiLxIGtRX","Don Omar","Virtual Diva","UMLE - Machete",131,-1,33,"229968"
188,"spotify:track:2beS6dD5rovBxSA1zYoSHR","JHAYCO, J Balvin, Bad Bunny","No Me Conoce - Remix","N&E Entertainment LLC",2,153,194,"229264"
189,"spotify:track:33KlCodqEvfo4I0hhURXqZ","Kidd Voodoo, Kennat, SINAKA, Pablo Chill-E, Jory Boy","KE KE - Remix","Kidd Voodoo",31,-1,7,"228748"
190,"spotify:track:5dDlknAL9imbXXl7uG7oqe","Omar Courtz","⁠LUCES DE COLORES","Mr.305 Records / Rimas Entertainment LLC.",108,166,32,"228734"
191,"spotify:track:4waqcUQWdj0yH26STWl2Rq","La Oreja de Van Gogh","Rosas","Columbia",47,170,47,"228229"
192,"spotify:track:3HqcNJdZ2seoGxhn0wVNDK","KAROL G","PROVENZA","BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO",8,-1,184,"227956"
193,"spotify:track:4skuEIloXWuxxgekKupkEH","Mon Laferte","Tu Falta De Querer","Universal Music Mexico",5,168,83,"227434"
194,"spotify:track:1JLn8RhQzHz3qDqsChcmBl","Foreigner","I Want to Know What Love Is - 1999 Remaster","Atlantic Records",130,176,36,"226924"
195,"spotify:track:0fKK51bU6lcCCwdNnv64t3","Blessd, Anuel AA, Ovy On The Drums","DEPORTIVO","WEA Latina",1,-1,38,"225111"
196,"spotify:track:4ksf1UdqNc9pU8R4ZZrgdY","Miranda!","Tu Misterioso Alguien","Pelo Music",27,159,29,"224948"
197,"spotify:track:3tEJZO2wMtvhQH5EKfKbkh","Anuel AA, Jory Boy","Nacimos Pa Morir (feat. Jory Boy)","Spiff TV, LLC / Real Hasta La Muerte, Inc.",139,-1,25,"224351"
198,"spotify:track:1DrDfpOx4P4LMxFhtOmeyD","Plan B","Fanatica Sensual","Pina Records",124,-1,32,"224288"
199,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",123,197,29,"224263"
200,"spotify:track:4c2Pc0NrfkesPR0jff6q3F","Bad Bunny","KETU TeCRÉ","Rimas Entertainment LLC.",16,-1,18,"223762"
