rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4nJJCRYru4QQakCiUA155f","Mr Plata, El Americano 4KT","Las Muñequitas","Universal Music Colombia S.A.S.",1,1,9,"1990353"
2,"spotify:track:3CBEVPwR3kUXDoTx1lqFUQ","ARIA VEGA, Ryan Castro","CHÉVERE (premium_remix)","WEA Latina",2,2,3,"1793988"
3,"spotify:track:2ZyrAym0sRLwt4PhGotHuI","Ryan Castro, Kapo, Gangsta","LA VILLA","AWOO Corp./Sony Music Latin",1,3,18,"1662672"
4,"spotify:track:4KE9Ne3hgh18B3Th4xcylg","Kris R.","GANAS","WEA Latina",2,4,7,"1555655"
5,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,7,54,"1187848"
6,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",2,11,42,"1147408"
7,"spotify:track:7mU1fei7P9h4mpjP2Otdw5","J Balvin, Ryan Castro, DJ Snake","Tonto","Capitol Records",7,-1,1,"1138980"
8,"spotify:track:6VfL3MEuYeJbDlD8m011HR","Beéle","quédate","5020 Records",2,6,42,"1124708"
9,"spotify:track:5yXt80BNZGbmHFd0NHZHNn","Grupo Firme","El Beneficio De La Duda","Music VIP Entertainment Presenta Grupo Firme",3,9,54,"1105825"
10,"spotify:track:2E4TYekUduml1DWIqQWNcj","Yeison Jimenez, Luis Alfonso","Destino Final","Yeison Jimenez",1,5,13,"1099832"
11,"spotify:track:5U3sC7aA5NxoMSeI1kmO2n","Blessd, Los Money Makers, Prodmonja","NUEVA YORK","WEA Latina",8,8,40,"1051785"
12,"spotify:track:6rZno3nqeT7hv2PnSWRuYS","Blessd","YOGURCITO","WEA Latina",4,10,79,"1046173"
13,"spotify:track:4zhk2RS2EZODmBW6il55Qj","Beéle, Ovy On The Drums","mi refe","5020 Records",1,15,65,"985479"
14,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,13,61,"944937"
15,"spotify:track:1YAWMfsmduIrpqrjP45pFn","Omar Courtz, Ñengo Flow","FOREVER TU GANTEL","Rimas Entertainment LLC.",15,50,2,"923751"
16,"spotify:track:1kJyDcBrZ7rSKnFtKc82vm","Blessd, Ovy On The Drums","AMISTA","WEA Latina",2,14,45,"921870"
17,"spotify:track:7nrd0eIftH3NQLfgk20Qp9","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)","WEA Latina",1,17,28,"902099"
18,"spotify:track:433eYQkvCgJKXh1o7LtplV","Yeison Jimenez","Por Qué la Envidia","YJ COMPANY",3,19,18,"871538"
19,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",16,18,44,"871350"
20,"spotify:track:5NbIHx26LyFkW2oSNSCYBV","Blessd, Ovy On The Drums","""EMHDM""","WEA Latina",12,12,2,"870491"
21,"spotify:track:46ufabZP6oK3ixmN6Gd753","Ryan Castro, Dongo","SANKA","AWOO Corp./Sony Music Latin",7,23,39,"870384"
22,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,16,61,"863486"
23,"spotify:track:4zqFA9MOG86u7uugR8QFDU","Kapo, Ryan Castro","DÓNDE","Sony Music Latin/La Industria",13,25,35,"856437"
24,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",2,24,349,"822393"
25,"spotify:track:595wwjQiad6e6lSTScmXvz","Omar Courtz","POR SI MAÑANA NO ESTOY","Rimas Entertainment LLC.",25,101,2,"806198"
26,"spotify:track:2BrfJdTXohQRtWBKsBTIp0","Arcángel","Por Amar A Ciegas","Cinq Recordings",26,65,7,"796575"
27,"spotify:track:0fMjldiEpgjbWQ4bBQwVzH","Kapo","UWAIE","Sony Music Latin/La Industria",1,30,81,"795099"
28,"spotify:track:6cZcn282SIMmuO8FHN8634","Yeison Jimenez","Vete","Yeison Jimenez",10,26,19,"794801"
29,"spotify:track:0Sa8aRfGckW0qUGLrBwoBG","Lenin Ramírez","Todo Lo Fue","DEL Records",27,27,4,"789203"
30,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",7,20,61,"777344"
31,"spotify:track:5OQCghydcEeA76eGdJ6GEa","ARIA VEGA","CHÉVERE (joesón_type_beat)","Plush Records",12,28,7,"772648"
32,"spotify:track:0Qe2g06yzLBuuSvVmFiweP","Nanpa Básico, Beéle","Hasta Aquí Llegué","5020 Records",3,29,85,"767136"
33,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",2,31,38,"747831"
34,"spotify:track:0lMafSfME2iJEE972bsQaK","Kybba, Sean Paul, Ryan Castro, Busy Signal","Ba Ba Bad Remix","Basshall",2,33,36,"739865"
35,"spotify:track:614NVFo5csQqRnryl4jXs2","Héctor ""El Father"", Wisin & Yandel","El Teléfono","Machete Music",19,37,31,"716593"
36,"spotify:track:4NyUIohBa3CEMGcXURYSOh","Herencia De Grandes","Ya Borracho","Rancho Humilde",36,44,9,"714760"
37,"spotify:track:1xRRW5ZrL7I9EG8CGZrXHE","Yeison Jimenez, Chayín Rubio","El Mejor - Remix","Yeison Jimenez",8,32,8,"711034"
38,"spotify:track:39L3LdlHS3gqB62HPWaJRg","Bad Bunny","NO ME QUIERO CASAR","Rimas Entertainment LLC",19,34,79,"701742"
39,"spotify:track:2QP041AcWg8PwPIWP95RKN","Beéle","top diesel","5020 Records",3,39,42,"688171"
40,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",5,42,61,"680800"
41,"spotify:track:4acvrfbXrDPFQNNDnFZnpC","Luister La Voz, maikol el insoportable","Ozono","Grupo B Entertainment",41,53,3,"678942"
