rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7sRXb5IgYWwVv1DaavHSNs","Blessd, Fuerza Regida, Ovy On The Drums","COMO OREO","WEA Latina",1,2,10,"2331603"
2,"spotify:track:6qDTm2QbRSLlSmaUSJE6bF","Blessd, GeezyDee","DIOMEDEZ","WEA Latina",1,1,2,"1619914"
3,"spotify:track:7nrd0eIftH3NQLfgk20Qp9","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)","WEA Latina",1,4,11,"1556877"
4,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,3,37,"1415891"
5,"spotify:track:6VfL3MEuYeJbDlD8m011HR","Beéle","quédate","5020 Records",2,8,25,"1311151"
6,"spotify:track:6rZno3nqeT7hv2PnSWRuYS","Blessd","YOGURCITO","WEA Latina",4,5,62,"1298011"
7,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",2,7,21,"1288972"
8,"spotify:track:0lMafSfME2iJEE972bsQaK","Kybba, Sean Paul, Ryan Castro, Busy Signal","Ba Ba Bad Remix","Basshall",2,10,19,"1275464"
9,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",2,6,25,"1135306"
10,"spotify:track:1kJyDcBrZ7rSKnFtKc82vm","Blessd, Ovy On The Drums","AMISTA","WEA Latina",2,12,28,"1128478"
11,"spotify:track:46ufabZP6oK3ixmN6Gd753","Ryan Castro, Dongo","SANKA","AWOO Corp./Sony Music Latin",7,21,22,"1055254"
12,"spotify:track:4zhk2RS2EZODmBW6il55Qj","Beéle, Ovy On The Drums","mi refe","5020 Records",1,9,48,"1032959"
13,"spotify:track:2QP041AcWg8PwPIWP95RKN","Beéle","top diesel","5020 Records",3,11,25,"992796"
14,"spotify:track:569xAmXCkpM3IsEOiG4hWe","Kenny Die, Blessd, Kris R., Sebas","Ultra Complicado (feat. Sebas) - Remix","WEA Latina",3,14,38,"962036"
15,"spotify:track:4zqFA9MOG86u7uugR8QFDU","Kapo, Ryan Castro","DÓNDE","Sony Music Latin/La Industria",14,17,18,"919231"
16,"spotify:track:0Qe2g06yzLBuuSvVmFiweP","Nanpa Básico, Beéle","Hasta Aquí Llegué","5020 Records",3,16,68,"890534"
17,"spotify:track:0nafF9MxcXJBQWv3BTKtdF","KAROL G, Feid","Verano Rosa","Bichota/Interscope Records",5,18,20,"848316"
