rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:44xDy4h27s4ENaC8fKnCoC","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",1,2,14,"2121224"
2,"spotify:track:4oVO4fGNRRvEn0CRuFO4qv","ROSALÍA, Yahritza Y Su Esencia","La Perla","Columbia",1,4,9,"1894868"
3,"spotify:track:6X8DTIJEgHUjZynuds0E2f","Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES","Tu jardín con enanitos","Sony Music Uruguay",1,1,33,"1886481"
4,"spotify:track:3TfRpsYPQSXqqramSoWlNg","La T y La M","Soy Favela","Sony Music Uruguay",3,3,5,"1678702"
5,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",3,5,25,"1554352"
6,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,7,45,"1470603"
7,"spotify:track:2uPMsTEKx79gJ8rB3AcT0v","Bizarrap, Daddy Yankee","Daddy Yankee: Bzrp Music Sessions, Vol. 0/66","DALE PLAY Records",1,8,10,"1364365"
8,"spotify:track:5MKbWaXeSQSmzmo7gPQha1","La T y La M, Malandro","Amor de Vago","GraceMusic",1,6,70,"1359473"
9,"spotify:track:04YMLAsyIAe1sLb6RO5YcC","Bizarrap, J Balvin","J Balvin: Bzrp Music Sessions, Vol. 62/66","DALE PLAY Records",9,14,2,"1342301"
10,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",8,23,33,"1278377"
11,"spotify:track:6UO9DhCUq4ZbQz7PXwelFV","Max Carra","UWAIE - versión cumbia","Max Carra",9,9,49,"1273158"
12,"spotify:track:2pbSCYzxrG0wa6qcj8IyiE","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante - Remix","El Bogueto",12,13,4,"1208546"
13,"spotify:track:4Kzi8hXKkT87SQoYClizh0","Luck Ra, Miranda!","TU MISTERIOSO ALGUIEN (CUARTETO) (feat. Miranda!)","Sony Music Latin",2,10,17,"1128439"
14,"spotify:track:4aDbrgm1ZaebS1Bb2dOXac","Milo j","Niño","Sony Music Latin",6,16,15,"1120199"
15,"spotify:track:1H7ktqkQx1PIuPfNtqvaBs","Airbag","Pensamientos","Pop Art",15,24,45,"1071926"
16,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,15,53,"1054588"
17,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",17,111,16,"1008391"
18,"spotify:track:4OsBqqMwFabHATATT527tH","Myke Towers, Quevedo","SOLEAO","WEA Latina",4,20,32,"1004085"
19,"spotify:track:4zhk2RS2EZODmBW6il55Qj","Beéle, Ovy On The Drums","mi refe","5020 Records",19,42,53,"971661"
20,"spotify:track:7rfYGYxsZzQAhlJy5B0IcW","Maria Becerra, TINI, XROSS","HASTA QUE ME ENAMORO","WEA Latina",8,27,16,"967192"
21,"spotify:track:2mdrVnxEnPR6iFijakkxQS","Young Cister, Kreamly","QLOO*","Sony Music Entertainment Chile S.A",2,11,28,"955694"
22,"spotify:track:2dd3G3ZqEcG2cNS1tp3oEk","Alleh, Yorghaki","capaz (merengueton)","La Ciudad",3,29,52,"941596"
23,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",6,30,53,"893569"
24,"spotify:track:2NMctdE1VuUUc4VctEqamB","Luck Ra, Karina, RAMKY EN LOS CONTROLES","LADRON","Sony Music Latin",18,18,4,"877257"
25,"spotify:track:2F6PBqz7aPA7K309aFKMHt","Cazzu","Con Otra","DALE PLAY Records / RIMAS Entertainment LLC",6,17,42,"855180"
26,"spotify:track:1Zh6HllrXT0Khrwk2j3TrZ","La T y La M","No Se Va","GraceMusic",22,22,63,"854604"
