rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2ZyrAym0sRLwt4PhGotHuI","Ryan Castro, Kapo, Gangsta","LA VILLA","AWOO Corp./Sony Music Latin",1,2,10,"1539496"
2,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,1,46,"1467018"
3,"spotify:track:6VfL3MEuYeJbDlD8m011HR","Beéle","quédate","5020 Records",2,3,34,"1315469"
4,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",2,6,34,"1249732"
5,"spotify:track:4zhk2RS2EZODmBW6il55Qj","Beéle, Ovy On The Drums","mi refe","5020 Records",1,13,57,"1158954"
6,"spotify:track:5yXt80BNZGbmHFd0NHZHNn","Grupo Firme","El Beneficio De La Duda","Music VIP Entertainment Presenta Grupo Firme",3,4,46,"1016287"
7,"spotify:track:7nrd0eIftH3NQLfgk20Qp9","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)","WEA Latina",1,7,20,"986146"
8,"spotify:track:5U3sC7aA5NxoMSeI1kmO2n","Blessd, Los Money Makers, Prodmonja","NUEVA YORK","WEA Latina",8,18,32,"979468"
9,"spotify:track:6rZno3nqeT7hv2PnSWRuYS","Blessd","YOGURCITO","WEA Latina",4,10,71,"966514"
10,"spotify:track:1kJyDcBrZ7rSKnFtKc82vm","Blessd, Ovy On The Drums","AMISTA","WEA Latina",2,12,37,"940065"
11,"spotify:track:7sRXb5IgYWwVv1DaavHSNs","Blessd, Fuerza Regida, Ovy On The Drums","COMO OREO","WEA Latina",1,14,19,"908410"
12,"spotify:track:2QP041AcWg8PwPIWP95RKN","Beéle","top diesel","5020 Records",3,11,34,"850217"
13,"spotify:track:4zqFA9MOG86u7uugR8QFDU","Kapo, Ryan Castro","DÓNDE","Sony Music Latin/La Industria",13,19,27,"828017"
14,"spotify:track:46ufabZP6oK3ixmN6Gd753","Ryan Castro, Dongo","SANKA","AWOO Corp./Sony Music Latin",7,15,31,"816945"
15,"spotify:track:0lMafSfME2iJEE972bsQaK","Kybba, Sean Paul, Ryan Castro, Busy Signal","Ba Ba Bad Remix","Basshall",2,5,28,"812519"
16,"spotify:track:0Qe2g06yzLBuuSvVmFiweP","Nanpa Básico, Beéle","Hasta Aquí Llegué","5020 Records",3,22,77,"797979"
17,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,21,53,"763999"
18,"spotify:track:0fMjldiEpgjbWQ4bBQwVzH","Kapo","UWAIE","Sony Music Latin/La Industria",1,26,73,"751932"
19,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",2,8,30,"723243"
20,"spotify:track:39L3LdlHS3gqB62HPWaJRg","Bad Bunny","NO ME QUIERO CASAR","Rimas Entertainment LLC",20,38,71,"703932"
21,"spotify:track:614NVFo5csQqRnryl4jXs2","Héctor ""El Father"", Wisin & Yandel","El Teléfono","Machete Music",19,30,23,"695091"
22,"spotify:track:44xDy4h27s4ENaC8fKnCoC","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",22,33,10,"688260"
23,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",2,23,341,"681601"
24,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,27,53,"665710"
25,"spotify:track:7bywjHOc0wSjGGbj04XbVi","Feid, ATL Jacob","LUNA","UMLE - Latino",1,29,110,"658670"
26,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",14,31,27,"655918"
27,"spotify:track:1C7NXX8UJ6pgNx8EkmyZDd","Beéle","si te pillara","5020 Records",6,28,33,"649202"
28,"spotify:track:13BDiikG6y5o5cQTK0HpW6","W Sound, Blessd, Ovy On The Drums","Soltera - W Sound 01","WEA Latina",1,35,75,"649121"
29,"spotify:track:0nafF9MxcXJBQWv3BTKtdF","KAROL G, Feid","Verano Rosa","Bichota/Interscope Records",5,34,29,"647588"
30,"spotify:track:569xAmXCkpM3IsEOiG4hWe","Kenny Die, Blessd, Kris R., Sebas","Ultra Complicado (feat. Sebas) - Remix","WEA Latina",3,40,47,"631885"
31,"spotify:track:2btNsI4OvcVl7SAHQQDHFB","Blessd, Ovy On The Drums","Mírame","WEA Latina",1,37,90,"615100"
32,"spotify:track:10B0cONtHL7b8hdMRE2Du6","Blessd, Anuel AA, Kris R., Young Fatty, CARABIN3, GeezyDee, TURY","BUENOS DIAS (feat. Tury, GeezyDee, CARABIN3)","WEA Latina",8,70,9,"604374"
33,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",18,39,258,"595767"
34,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",19,36,36,"590408"
35,"spotify:track:6qDTm2QbRSLlSmaUSJE6bF","Blessd, GeezyDee","DIOMEDEZ","WEA Latina",1,25,11,"588286"
36,"spotify:track:2pbSCYzxrG0wa6qcj8IyiE","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante - Remix","El Bogueto",36,43,4,"579492"
37,"spotify:track:6C1RD7YQVvt3YQj0CmuTeu","Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz","Diles","Rimas Entertainment LLC",37,45,292,"576959"
38,"spotify:track:0VKkyBKCXyR99navhVRqcP","Zion & Lennox","La player (Bandolera)","WEA Latina",2,72,167,"571041"
39,"spotify:track:4sTnItbNUAcS5KDG6vTA5B","Blessd, Los Money Makers, Prodmonja","URUS BLUE","WEA Latina",22,55,32,"570488"
40,"spotify:track:7ns16ylM6sbxo9ZWIwyE5d","Danny Ocean, Kapo","Imagínate","Atlantic Records",1,123,61,"570384"
41,"spotify:track:4ATzrqMF84B9iSCGUUqfTT","Topboy TGR, Kzadores","MÁS DE AHÍ","Topboy TGR, Slowrecords",38,41,9,"565182"
42,"spotify:track:1j4XwpoLvqdkWllikDu7Rm","Luis Alberto Posada","Mal Amor","Luis Alberto Posada",32,32,10,"551412"
43,"spotify:track:61AeiFmmwjlCC4P5To6cCi","Ozuna, Beéle","Pikito","Nibiru International/Sony Music Latin",43,58,4,"549348"
44,"spotify:track:2hScMilrNzlbD9VD88t7jD","Blessd, Kris R., Young Fatty, TURY, CARABIN3, GeezyDee","40 DE DICIEMBRE (feat. GeezyDee, CARABIN3)","WEA Latina",10,50,9,"541447"
45,"spotify:track:482PEx8hfMHSsuGtHd960A","Kapo","OHNANA","Sony Music Latin/La Industria",3,61,82,"536544"
46,"spotify:track:4feh4Ak3ZJfC6ibxkNzlkE","Boza, ELENA ROSE","orióN","Sony Music Latin",6,82,82,"533387"
47,"spotify:track:1YYfyJ2yCvGFCxwjsIqEK9","Rauw Alejandro, Romeo Santos","Khé?","Sony Music Latin/Duars Entertainment",7,62,60,"528400"
48,"spotify:track:3mg9jYNC1NihbthlglzrWP","KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd","+57","Bichota/Interscope Records",1,42,61,"524082"
49,"spotify:track:0QuHK1VvIZ1Kt2GfqRrdVo","CARABIN3, SVNTI","MUSA","Dinastia INC",49,102,5,"523197"
50,"spotify:track:1o4xkdBe0RjSf2u6VXi4OI","Yan Block, Panda Black","444","SONAR LLC.",25,52,77,"522929"
51,"spotify:track:3CbiuLMBPM6uV4a7HvkOib","Tony Dize, Plan B","Solos","Pina Records",29,63,169,"521600"
52,"spotify:track:1i1n7hUzCDkXGFqIJSSzom","Beéle","frente al mar","5020 Records",13,44,67,"517857"
53,"spotify:track:1JXcB149QtbcIpDUA6YZOB","Grupo Niche","Algo Que Se Quede","Grupo Niche",30,57,227,"503618"
54,"spotify:track:21cPb84RhAWCzp0wIUGPlk","Ozuna, Beéle, Ovy On The Drums","Enemigos","Nibiru International/Sony Music Latin",54,64,7,"502322"
55,"spotify:track:52IeC2QBiJqk9jAR5gbe14","Kris R., GeezyDee, Prodmonja","BOBADITA","WEA Latina",15,48,10,"501086"
56,"spotify:track:73scB4Q4fcOmnsBVZPmk32","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",1,46,81,"500673"
57,"spotify:track:2tKVinInf0PJS1iG04zzqi","Blessd, Sebastian Ledher, Tayson Kryss, Joseph Ren","UNA NOCHE DE LOCURA","WEA Latina",10,59,33,"497560"
58,"spotify:track:5HCk7iruzhQ1FbxyS3igmM","La Combinación Vallenata, Jean Carlos Centeno","Ayer Y Hoy","Codiscos",47,47,19,"494342"
59,"spotify:track:4YM3IYESNKXWYHbPXvMMVD","Kapo","NO CRY","Sony Music Latin/La Industria",59,95,7,"491915"
60,"spotify:track:6DUdDIRgLqCGq1DwkNWQTN","Maluma","Borro Cassette","Sony Music Latin",23,75,161,"489343"
61,"spotify:track:0JoHqmlqE0W0i9prt6kcHR","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Sony Music Latin",16,77,125,"480591"
62,"spotify:track:6r46lnXFbE9fr2d3KNaGbe","Romeo Santos","Imitadora","Sony Music Latin",29,88,106,"476804"
63,"spotify:track:6Z6SZeBkGP0qmJdq4RvvUY","Ryan Castro, SOG","Mi Fortuna","AWOO Corp./Sony Music Latin",7,9,5,"473039"
64,"spotify:track:3ddJ8Vbc5tYPxq5zKRVke6","KAROL G, Marco Antonio Solís","Coleccionando Heridas","Bichota/Interscope Records",10,56,29,"472732"
65,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",7,85,53,"465001"
66,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",5,91,53,"458951"
67,"spotify:track:2Mgur7BKnpr7OG3izSNFTA","Bryant Myers, Anuel AA, Anonimus, Almighty","Esclava - Remix","Millogang Music Inc., Real Hasta La Muerte LLC, Anonimus Music, La Industria De Los Inmortales",46,79,61,"458446"
68,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",68,-1,2,"456062"
69,"spotify:track:6sRQjwLPdzADXhgZeKy6PQ","Frankie Ruiz","Tú Con Él","UMLE - Latino",44,53,187,"451939"
