rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1bot94AA9sDNpktYCHmN78","Jere Klein, Jairo Vera, Gittobeatz","DUBAI","2026 JERE KLEIN",1,1,3,"1622448"
2,"spotify:track:2KpDYs0MexRXVAqNoHhJwk","Katteyes, SINAKA","ALO","Rimas Entertainment LLC.",1,2,5,"1560825"
3,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,4,85,"1265890"
4,"spotify:track:6g1u7IdhcA9rZUV3Pizsj8","SINAKA","SENDA BELLAKONA","2025 Sinaka under exclusive license to BZR Music LLC",1,3,15,"1196798"
5,"spotify:track:4aDbrgm1ZaebS1Bb2dOXac","Milo j","Niño","Sony Music Latin",5,33,23,"972492"
6,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,5,61,"905354"
7,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",6,6,61,"844922"
8,"spotify:track:5fKb9vC0HYr636KQnRAEUq","Kreamly, Baby Jey, Tobal Mj","LO QUE TU PIDAS","Virgin Music Chile",8,-1,1,"832074"
9,"spotify:track:2pbSCYzxrG0wa6qcj8IyiE","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante - Remix","El Bogueto",3,9,12,"819299"
10,"spotify:track:6N2iccqxRInhTLHc2Fu3W0","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",3,11,20,"812563"
11,"spotify:track:1YAWMfsmduIrpqrjP45pFn","Omar Courtz, Ñengo Flow","FOREVER TU GANTEL","Rimas Entertainment LLC.",11,30,2,"771102"
12,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",1,12,61,"759752"
13,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,7,61,"758820"
14,"spotify:track:5wPTk2TCDDuQRfqkZukWnk","King Savagge, Lyon la f, Katteyes, Lewis Somes","Pasajero","King savagge",1,8,16,"728419"
15,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",3,13,61,"728312"
16,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",5,10,61,"720913"
17,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",6,17,42,"720079"
18,"spotify:track:4j5ZSTHkXQbV0c8EassD0N","Germanini, Lyon la f, JhonAlex, Nacho G Flow","Comando Estelar","Stars Music Chile 2024",1,16,29,"687671"
19,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",17,18,32,"667948"
20,"spotify:track:2ZyrAym0sRLwt4PhGotHuI","Ryan Castro, Kapo, Gangsta","LA VILLA","AWOO Corp./Sony Music Latin",15,15,9,"664582"
21,"spotify:track:3D9mWy43zoJFWQUE6sz6ax","Jere Klein, Katteyes, Mateo on the Beatz","TODO KE VER","2026 JERE KLEIN",1,20,30,"662277"
22,"spotify:track:5jgmQkVypORb3enASCxjYs","Milo j, Trueno","Gil","Sony Music Latin",22,91,23,"657013"
23,"spotify:track:5SudOD9R1Of6CsJVWZy6CQ","Romeo Santos, Prince Royce","Dardos","Sony Music Latin",14,19,11,"634127"
