rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
58;spotify:track:4feh4Ak3ZJfC6ibxkNzlkE;Boza, ELENA ROSE;orióN;Sony Music Latin;6;71;77;538764
59;spotify:track:1pLCpA1RN8avJxSD3ZCwhj;Arcángel;Pa' Que La Pases Bien;Cinq Recordings;23;66;152;537387
60;spotify:track:0JoHqmlqE0W0i9prt6kcHR;Maluma, Trap Capos, Noriel, Bryant Myers, Juhn;Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn);Sony Music Latin;16;59;120;537061
61;spotify:track:2Mgur7BKnpr7OG3izSNFTA;Bryant Myers, Anuel AA, Anonimus, Almighty;Esclava - Remix;Millogang Music Inc., Real Hasta La Muerte LLC, Anonimus Music, La Industria De Los Inmortales;46;55;56;531065
62;spotify:track:0xh2JGmHH1lgRMDaIL94pz;Jezzy, Arcángel;Que Sensación - Remix;Pantomima Music;38;92;5;523635
63;spotify:track:6DUdDIRgLqCGq1DwkNWQTN;Maluma;Borro Cassette;Sony Music Latin;23;77;156;520287
64;spotify:track:0l0vcZMU7AOeQmUIREoI2U;Rauw Alejandro, Bad Bunny;Qué Pasaría...;Sony Music Latin/Duars Entertainment;11;82;55;518000
65;spotify:track:1Bc1GWTgEanxBu3NGRKblY;Pastor Lopez;El Hijo Ausente;Discos Fuentes Edimúsica S.A.S.;37;188;32;516450
66;spotify:track:3u2jlo9kygiIAq7SPVuw6S;Dalmata;Dile a Tu Amiga;FM MUSIC CORP Y ASOCIADOS;25;86;113;509958
67;spotify:track:1JXcB149QtbcIpDUA6YZOB;Grupo Niche;Algo Que Se Quede;Grupo Niche;30;58;222;494611
68;spotify:track:5ds1Hh3lo4JUF2vflqyayK;Yiyo Sarante;Manos de Tijera;TranKYouTV;65;65;65;484825
69;spotify:track:5DdLSEyKh8zgCrJq2hFj92;Yan Block, TORRRES;Yo sé;SONAR LLC.;42;69;48;484672
70;spotify:track:5q2JbCNi4FcnglgPfxcV65;Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin;Sola (Remix);Spiff TV, LLC / Real Hasta La Muerte, Inc.;6;105;213;482221
