rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2ZyrAym0sRLwt4PhGotHuI","Ryan Castro, Kapo, Gangsta","LA VILLA","AWOO Corp./Sony Music Latin",1,1,9,"1989059"
2,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,2,61,"1649272"
3,"spotify:track:6N2iccqxRInhTLHc2Fu3W0","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",1,6,22,"1619075"
4,"spotify:track:3TfRpsYPQSXqqramSoWlNg","La T y La M","Soy Favela","Sony Music Uruguay",2,4,13,"1614097"
5,"spotify:track:6UO9DhCUq4ZbQz7PXwelFV","Max Carra","UWAIE - versión cumbia","Max Carra",2,5,57,"1521018"
6,"spotify:track:4AL4EamHEBKPpdcFRkYdXN","Lauta, Amigo de Artistas, Tote","Puñaladas","LEB Records",6,8,8,"1488625"
7,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,3,61,"1383841"
8,"spotify:track:6X8DTIJEgHUjZynuds0E2f","Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES","Tu jardín con enanitos","Sony Music Uruguay",1,10,41,"1319187"
9,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",4,7,61,"1294963"
10,"spotify:track:2pbSCYzxrG0wa6qcj8IyiE","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante - Remix","El Bogueto",7,12,12,"1258684"
11,"spotify:track:1YAWMfsmduIrpqrjP45pFn","Omar Courtz, Ñengo Flow","FOREVER TU GANTEL","Rimas Entertainment LLC.",11,36,2,"1167401"
12,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",3,13,33,"1145277"
13,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",8,9,61,"1110008"
14,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",6,14,61,"1088017"
15,"spotify:track:4oVO4fGNRRvEn0CRuFO4qv","ROSALÍA, Yahritza Y Su Esencia","La Perla","Columbia",1,15,17,"1078086"
16,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",5,11,61,"1052176"
17,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",8,16,41,"1028764"
18,"spotify:track:5MKbWaXeSQSmzmo7gPQha1","La T y La M, Malandro","Amor de Vago","GraceMusic",1,17,78,"926502"
19,"spotify:track:1H7ktqkQx1PIuPfNtqvaBs","Airbag","Pensamientos","Pop Art",13,18,53,"924834"
20,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,21,53,"908399"
21,"spotify:track:4aDbrgm1ZaebS1Bb2dOXac","Milo j","Niño","Sony Music Latin",6,22,23,"901827"
22,"spotify:track:7z26frY6O7BXwyjeqzYo7W","PEDRO SAMPAIO, Emilia, MC Meno K, Melody","JETSKI - Remix","Sony Music Entertainment",22,53,2,"872933"
23,"spotify:track:1Zh6HllrXT0Khrwk2j3TrZ","La T y La M","No Se Va","GraceMusic",22,24,71,"862293"
24,"spotify:track:4zhk2RS2EZODmBW6il55Qj","Beéle, Ovy On The Drums","mi refe","5020 Records",16,25,61,"822358"
25,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",4,27,38,"807909"
26,"spotify:track:4OsBqqMwFabHATATT527tH","Myke Towers, Quevedo","SOLEAO","WEA Latina",4,28,40,"803973"
27,"spotify:track:2dd3G3ZqEcG2cNS1tp3oEk","Alleh, Yorghaki","capaz (merengueton)","La Ciudad",3,29,60,"795217"
28,"spotify:track:4MUrUT38U98olfnyzMBCzm","Bad Bunny","KLOuFRENS","Rimas Entertainment LLC.",14,19,61,"795206"
29,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",14,23,68,"777419"
30,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",7,26,193,"766164"
31,"spotify:track:61qPUnazSdkvua4wgA4L8C","Babasonicos","Como Eran Las Cosas","Universal Music Argentina S.A.",11,32,155,"749951"
32,"spotify:track:595wwjQiad6e6lSTScmXvz","Omar Courtz","POR SI MAÑANA NO ESTOY","Rimas Entertainment LLC.",32,109,2,"745736"
33,"spotify:track:2uPMsTEKx79gJ8rB3AcT0v","Bizarrap, Daddy Yankee","Daddy Yankee: Bzrp Music Sessions, Vol. 0/66","DALE PLAY Records",1,30,18,"740838"
34,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",3,20,57,"736950"
35,"spotify:track:6C1RD7YQVvt3YQj0CmuTeu","Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz","Diles","Rimas Entertainment LLC",25,31,110,"730359"
36,"spotify:track:7CMj1OOS1ho4CPEQTFKzcN","Young Cister, Kreamly","QLOO*","Sony Music Entertainment Chile S.A",2,45,36,"729898"
37,"spotify:track:5vHWh24GAsXJ7tnIu8v7UN","Airbag","Por Mil Noches","DALE PLAY Records / Airbag",18,38,320,"697745"
38,"spotify:track:2F6PBqz7aPA7K309aFKMHt","Cazzu","Con Otra","DALE PLAY Records / RIMAS Entertainment LLC",6,37,50,"687452"
39,"spotify:track:1toIsvoqn3HCpdetMXk2sJ","PEPU, Pizzu","TENGO UN FEELING","FRISBI RECORDS",13,33,9,"668276"
40,"spotify:track:04YMLAsyIAe1sLb6RO5YcC","Bizarrap, J Balvin","J Balvin: Bzrp Music Sessions, Vol. 62/66","DALE PLAY Records",9,35,10,"648680"
41,"spotify:track:7nrd0eIftH3NQLfgk20Qp9","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)","WEA Latina",13,39,27,"637486"
42,"spotify:track:0CgpCtEPvyDizcg2p47VrU","No Te Va Gustar","A las Nueve","Elefante Blanco",27,42,375,"620504"
43,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",15,41,24,"619646"
44,"spotify:track:5WEF0icHWmAZBBMglBd599","Bad Bunny, Chuwi","WELTiTA","Rimas Entertainment LLC.",7,34,58,"616959"
45,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",28,54,173,"597499"
46,"spotify:track:44m9PAUZYeOEGeaTYh6NAl","No Te Va Gustar, Juan Casanova","Tan Lejos","Elefante Blanco",28,52,188,"595643"
47,"spotify:track:5jgmQkVypORb3enASCxjYs","Milo j, Trueno","Gil","Sony Music Latin",17,72,23,"586487"
48,"spotify:track:7rfYGYxsZzQAhlJy5B0IcW","Maria Becerra, TINI, XROSS","HASTA QUE ME ENAMORO","WEA Latina",8,43,24,"580787"
49,"spotify:track:1rh4kDY9T4fHVDum8Foi5k","Gustavo Cerati","Adiós","Ariola",45,49,166,"575852"
50,"spotify:track:0AXKoQuC2NQ8S2QRF0Gu02","Plan B","Fronteo","Pina Records",9,64,38,"567176"
51,"spotify:track:39L3LdlHS3gqB62HPWaJRg","Bad Bunny","NO ME QUIERO CASAR","Rimas Entertainment LLC",37,44,13,"564358"
52,"spotify:track:0UaxhDrvCVcCWCqYQUeeFF","Tincho & Javi, Max Carra","Loco Enamorado I Varieté #4","Tincho Di Salvo",24,40,26,"563318"
53,"spotify:track:0ZAJ660VP57lLK4U7NlGOy","Intoxicados","Nunca quise","Pop Art",49,55,475,"561580"
54,"spotify:track:5Bi9Cq5oVFy1OtUgecbegZ","Callejeros","Creo","Pelo Music S.A.",53,63,348,"560101"
55,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",1,56,204,"554042"
56,"spotify:track:6kPCcIAGoTeRrh8qrmKa90","Tiago PZK, Ke Personajes","Piel","WEA Latina",2,65,109,"540145"
57,"spotify:track:4tabsd3NLLwuT90wkuNh7C","Maria Becerra, El Alfa, XROSS","HACE CALOR","WEA Latina",16,50,15,"538111"
58,"spotify:track:6kUopck7LHVadAjAFcXiTj","Patricio Rey y sus Redonditos de Ricota","Un Ángel para Tu Soledad","Patricio Rey Discos",58,61,180,"536534"
59,"spotify:track:4Kzi8hXKkT87SQoYClizh0","Luck Ra, Miranda!","TU MISTERIOSO ALGUIEN (CUARTETO) (feat. Miranda!)","Sony Music Latin",2,48,25,"530786"
60,"spotify:track:0h54mLixODOqU6vTcZMqVM","Omar Courtz, ROA","WO OH OH","Rimas Entertainment LLC.",60,69,2,"524666"
61,"spotify:track:2Xetks48zQL2K7xUbJBHRn","Q' Lokura, Los Herrera","Cuidado Que Te Supero","Q' Lokura",40,60,95,"519761"
62,"spotify:track:614NVFo5csQqRnryl4jXs2","Héctor ""El Father"", Wisin & Yandel","El Teléfono","Machete Music",39,66,22,"517955"
63,"spotify:track:2NMctdE1VuUUc4VctEqamB","Luck Ra, Karina, RAMKY EN LOS CONTROLES","LADRON","Sony Music Latin",18,62,12,"509950"
64,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",2,59,22,"507955"
65,"spotify:track:1LiN0Z98FkR1t0m8KmLcAH","Anuel AA, Haze","Amanece","House of Haze",10,77,191,"506863"
66,"spotify:track:7upAH0ezzsThyvr33YKn4u","Turf","Pasos Al Costado","Pop Art",52,58,402,"501532"
67,"spotify:track:5q2JbCNi4FcnglgPfxcV65","Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin","Sola (Remix)","Spiff TV, LLC / Real Hasta La Muerte, Inc.",12,90,127,"499717"
68,"spotify:track:2lg4MDfkK2ya3dEAFu6Wh8","Felix Record","Cuentame","Felix Record",46,47,10,"499029"
69,"spotify:track:1yG1za0O6OK6sKa79xGtsA","De La Rose","Yo te conozco :):","WEA Latina",69,167,2,"497742"
70,"spotify:track:6d4d6cwiAf59mKxoRmXQoK","Babasonicos","Irresponsables","Pop Art",30,92,109,"496412"
71,"spotify:track:1o4xkdBe0RjSf2u6VXi4OI","Yan Block, Panda Black","444","SONAR LLC.",24,67,56,"495866"
72,"spotify:track:3D9mWy43zoJFWQUE6sz6ax","Jere Klein, Katteyes, Mateo on the Beatz","TODO KE VER","2026 JERE KLEIN",3,74,29,"493525"
73,"spotify:track:6dT5W7zuEcUZHnZuVlSIJ5","Los Huayra","La Noche Sin Tí","EMI Argentina",55,79,102,"491915"
74,"spotify:track:0oCiPqIEL5218yu2D996eP","Los Piojos","Bicho de Ciudad","300 Producciones",68,73,64,"491758"
75,"spotify:track:1tz7RZirwiuaJw2p0jbdHb","Omar Courtz","KOKO","Rimas Entertainment LLC.",75,-1,1,"489733"
76,"spotify:track:6DUdDIRgLqCGq1DwkNWQTN","Maluma","Borro Cassette","Sony Music Latin",16,84,152,"486531"
77,"spotify:track:7sChwC2NZjGc2Kdni3hlDg","Yan Block, Panda Black","Talento","Sonar LLC.",68,68,9,"482291"
78,"spotify:track:7xjFEvchFCiAmuseCBModI","Pablo Chill-E, Ñengo Flow, Jere Klein","Bastardo (feat. Ñengo Flow & Jere Klein)","G STARR ENT",78,97,9,"477925"
79,"spotify:track:0C9V5jMElp7laZZdsCHufD","Los Tipitos","Campanas en la Noche","Pop Art",67,76,295,"471349"
80,"spotify:track:7nyk5uxevcijIfl1FlJgmA","Omar Courtz","SI ESTÁS CON ALGUIEN","Rimas Entertainment LLC.",80,142,2,"470233"
81,"spotify:track:06s3QtMJVXw1AJX3UfvZG1","Anuel AA, Bad Bunny","Hasta Que Dios Diga","2020 Real Hasta La Muerte, LLC",7,51,106,"468558"
82,"spotify:track:67Q93kXygxCskeQiIP0V0j","Ciro y los Persas","Me Gusta","300 Producciones",60,83,471,"467805"
83,"spotify:track:4MjDJD8cW7iVeWInc2Bdyj","Bad Bunny","MONACO","Rimas Entertainment LLC",12,46,22,"462842"
84,"spotify:track:6WJ2QzbVnjmPGKpmb6tmmO","La T y La M","amor de veraNO","Sony Music Uruguay",5,80,42,"460185"
85,"spotify:track:4581iSIX0QZNNzAQRysF3k","Airbag","Nunca Lo Olvides","DALE PLAY Records",35,82,67,"458645"
86,"spotify:track:5DdLSEyKh8zgCrJq2hFj92","Yan Block, TORRRES","Yo sé","SONAR LLC.",11,78,61,"458388"
87,"spotify:track:7MVIfkyzuUmQ716j8U7yGR","Milo j, Taiu","Rara Vez","Universal Music Argentina S.A.",3,94,159,"456077"
88,"spotify:track:3NlHH9zJ9uGXkm6NJDbLnO","El Plan De La Mariposa","Túnel de la Vida","Savia Records",72,102,35,"455463"
89,"spotify:track:1wDZFWLswOdkP3PBOWiSwI","DesaKTa2","No Se Ve / Chingon","Almenara Network S.A.S",57,81,10,"453695"
90,"spotify:track:23FJGRug9hlYUIBnrmkIBX","Airbag","Cicatrices","DALE PLAY Records / Airbag",41,93,98,"453291"
91,"spotify:track:2ANtIUI9cipWNI685VdlZb","Pablo Chill-E","Resentia","G STARR ENT",11,133,59,"452609"
92,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",17,101,42,"451527"
93,"spotify:track:0VKkyBKCXyR99navhVRqcP","Zion & Lennox","La player (Bandolera)","WEA Latina",12,87,88,"449592"
94,"spotify:track:5EGVGkRRJ2udpRnVGpx8LM","Tan Bionica","Obsesionario en La Mayor","DALE PLAY Records",24,96,143,"449586"
95,"spotify:track:5SudOD9R1Of6CsJVWZy6CQ","Romeo Santos, Prince Royce","Dardos","Sony Music Latin",78,89,8,"448381"
96,"spotify:track:0fLOPPoyIaPTe8dm2Mrft3","Anuel AA","Tú No Lo Amas","2018 Real Hasta La Muerte, Inc.",81,113,18,"446805"
97,"spotify:track:6iCnJkKswtMYoSmT58HmEn","Los Auténticos Decadentes","Un Osito de Peluche de Taiwán","Pop Art",44,91,42,"446330"
98,"spotify:track:14rcLGX83RpsORAIzC4U4g","Patricio Rey y sus Redonditos de Ricota","Un Poco de Amor Francés","Patricio Rey Discos",82,100,253,"444343"
99,"spotify:track:3sfrXcrMPS2KMQmzdmjEmp","Q' Lokura","Quédate / Soy Favela / Lo que hay x aqui - En Vivo","Q' Lokura",94,111,11,"442920"
100,"spotify:track:1yg1tWFaYajN4b7vsKtYRE","La T y La M","El Doctorado","GraceMusic",26,86,77,"438359"
101,"spotify:track:4ksf1UdqNc9pU8R4ZZrgdY","Miranda!","Tu Misterioso Alguien","Pelo Music",1,103,34,"437960"
102,"spotify:track:4KRlNVLHn2ZgGvpjnga31N","Luciano Pereyra, Ezequiel Y La Clave, Un Poco de Ruido, Pinky SD","Si No Es Muy Tarde - Versión Cumbia","Universal Music Argentina S.A.",14,85,47,"435090"
103,"spotify:track:73scB4Q4fcOmnsBVZPmk32","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",1,88,89,"434506"
104,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",12,95,33,"430861"
105,"spotify:track:6Xom58OOXk2SoU711L2IXO","Bad Bunny","Moscow Mule","Rimas Entertainment LLC",1,71,94,"429995"
106,"spotify:track:6vRQqxOhUFd78p5tL8jXr7","Luck Ra, BM","La Morocha","Sony Music Entertainment Chile S.A",1,98,139,"427110"
107,"spotify:track:3ydweVPwq9PCEVJ8WwqT6u","Los Auténticos Decadentes","Loco (Tu Forma De Ser)","RCA Records Label",75,106,36,"421678"
108,"spotify:track:5dDlknAL9imbXXl7uG7oqe","Omar Courtz","⁠LUCES DE COLORES","Mr.305 Records / Rimas Entertainment LLC.",99,136,41,"420357"
109,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",60,116,150,"416362"
110,"spotify:track:0JoHqmlqE0W0i9prt6kcHR","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Sony Music Latin",17,122,98,"415990"
111,"spotify:track:1Mqfdem6pgGVoULjSkkcc9","Airbag","Cae el Sol","DALE PLAY Records / Airbag",56,121,108,"415640"
112,"spotify:track:3X8jKI7kHrbhqgLboG14tw","Eugenia Quevedo, Angela Leiva, La banda de Carlitos","No Podrás - En Vivo","Eugenia Quevedo",44,105,53,"415586"
113,"spotify:track:5zpZUFF7YyPG90nkR88RYd","Babasonicos","Puesto","Universal Music Argentina S.A.",37,132,57,"414154"
114,"spotify:track:65DBZofI0b79kfHTcWWDuU","Soda Stereo","Trátame Suavemente - Remasterizado 2007","Columbia",56,104,430,"413083"
115,"spotify:track:5GUgnXDDO4raKkT9lO5F1x","DesaKTa2, Aneley","Estaba Aqui Pensando","Almenara Network S.A.S",81,112,37,"412812"
116,"spotify:track:7LABrQFfRYcZUqUwng0Heb","Yandel","Encantadora","Sony Music Latin",116,165,23,"412652"
117,"spotify:track:4vCAzANUWDE24URV6wQ4ra","Bad Bunny","Otra Noche en Miami","Rimas Entertainment LLC",41,57,6,"410602"
118,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,75,89,"409873"
119,"spotify:track:7GSKEUunbDOtPSG1TLXq8e","Callejero Fino, Martin Vegas","TIKI TIKI","DALE PLAY Records",81,146,9,"409807"
120,"spotify:track:6MuJUSYCqA4FpMogUHzb2R","No Te Va Gustar","Ese Maldito Momento","Elefante Blanco",28,107,224,"409731"
121,"spotify:track:6EhX9FjpQZ5CohoGeqUM2u","Angela Torres","FAVORITA","Sony Music Uruguay",23,134,25,"408935"
122,"spotify:track:0fMjldiEpgjbWQ4bBQwVzH","Kapo","UWAIE","Sony Music Latin/La Industria",15,114,59,"408695"
123,"spotify:track:6cFf4Jfy7ThUwGzbqFcZsx","Estelares, Jorge Serrano","Ella Dijo","Pop Art",56,131,97,"408661"
124,"spotify:track:1R3ubqAHKHE6f64Hz37q8h","La T y La M","Un Montón de Estrellas - En Vivo Gran Rex","GraceMusic",13,115,65,"407160"
125,"spotify:track:2jEjxOyKqMpkcThWl697hf","Babasonicos","El Loco","Pop Art",60,139,65,"404503"
126,"spotify:track:1p7m9H4H8s0Y7SgRm7j3ED","Andrés Calamaro","Flaca","DRO/EastWest Spain",61,130,390,"403189"
127,"spotify:track:7q7XFO9av9VpNJSXKJwJxD","Las Pelotas","Personalmente","Pop Art",93,124,226,"402731"
128,"spotify:track:1YYfyJ2yCvGFCxwjsIqEK9","Rauw Alejandro, Romeo Santos","Khé?","Sony Music Latin/Duars Entertainment",19,99,68,"402042"
129,"spotify:track:60IzIxSuVAtU71yCmHjxHH","Las Pelotas","Será","Pop Art",115,125,45,"394933"
130,"spotify:track:4skuEIloXWuxxgekKupkEH","Mon Laferte","Tu Falta De Querer","Universal Music Mexico",130,-1,1,"390820"
131,"spotify:track:1buwr89mlvxbaqArqmvCYS","Patricio Rey y sus Redonditos de Ricota","Esa Estrella Era Mi Lujo","Patricio Rey Discos",79,117,75,"390079"
132,"spotify:track:5AK6QqM8aUXXTk6oY00ZRh","Yan Block, De La Rose, Hades66, Ñengo Flow","444 - Remix","SONAR LLC.",48,140,12,"389703"
133,"spotify:track:6r46lnXFbE9fr2d3KNaGbe","Romeo Santos","Imitadora","Sony Music Latin",40,123,35,"388011"
134,"spotify:track:35ttE4t8lQZA2vuCYDg4G7","Milo j","M.A.I","DALE PLAY Records",11,143,113,"387633"
