rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3e32UUqXzrI4g2y5kNZrwC","Peso Pluma, Tito Double P","dopamina","Double P Records",1,1,10,"8907819"
2,"spotify:track:33MeEaRCeIQMSRyFTr5ZJU","Neton Vega","Pvta Luna","Josa Records (Neton Vega)",1,3,23,"8137304"
3,"spotify:track:0Sa8aRfGckW0qUGLrBwoBG","Lenin Ramírez","Todo Lo Fue","DEL Records",2,2,7,"7864582"
4,"spotify:track:136BeIIoBGrrU9fI1jbcDR","Peso Pluma, Tito Double P","daño","Double P Records",2,6,10,"7832084"
5,"spotify:track:4lzo6zPM2paqyP8oBp3DOs","Peso Pluma, Tito Double P","7-3","Double P Records",2,4,10,"7827577"
6,"spotify:track:4NyUIohBa3CEMGcXURYSOh","Herencia De Grandes","Ya Borracho","Rancho Humilde",4,5,16,"7649958"
7,"spotify:track:5Q4HTsEGKanxOwL1nYCnhQ","Peso Pluma, Tito Double P, LENCHO","chiclona","Double P Records",7,-1,1,"6781037"
8,"spotify:track:2pbSCYzxrG0wa6qcj8IyiE","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante - Remix","El Bogueto",3,7,12,"6533398"
9,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",1,10,44,"6475108"
10,"spotify:track:2GP6UzoA55p6yYiPCGyEhg","Omar Camacho, Victor Mendivil","2+2","Rico o Muerto by Baja Sound LLC",1,9,36,"6152214"
11,"spotify:track:1nkrOMcNi5TAwYWDQAOaB3","Omar Camacho, Victor Mendivil, Angel Almaguer, $HUPE","4x4","Rico o Muerto Music",5,8,7,"5945731"
12,"spotify:track:4rrGcaA4OqeNty6CXxnfz0","Peso Pluma, Tito Double P, El Randal","ganga","Double P Records",12,-1,1,"5739737"
13,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",1,14,44,"5575823"
14,"spotify:track:3qdeRGn9erK9sjs1kUtBys","Fuerza Regida","CHAVALITAS","Rancho Humilde/Street Mob Records/Sony Music Latin",2,17,38,"5486696"
15,"spotify:track:2MzaScXAL8wrSU9tlEijo6","BeatBoy, Victor Mendivil","Pase y Toque","Xkalibvr Music",10,11,12,"5463196"
16,"spotify:track:2A2x5MZB5OrnnKkVOxx5dp","Peso Pluma, Tito Double P","tu con el","Double P Records",16,18,10,"5420876"
17,"spotify:track:6N2iccqxRInhTLHc2Fu3W0","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",1,15,62,"5368279"
18,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",5,12,61,"5321790"
19,"spotify:track:1eunv1DeEi29UfAcVEoLTt","Tito Double P","POR SUS BESOS","Double P Records",1,16,34,"5289074"
20,"spotify:track:0PA6wI9DZ0bWMaSpXyTrAW","Chuyin","PUES QUE LE HAGO ?","Streetmob Records",19,22,8,"5173511"
21,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,13,61,"5049275"
22,"spotify:track:2A802q6kZPas36Fh3nVepA","Peso Pluma, Tito Double P, Armenta","london","Double P Records",22,-1,1,"4984907"
23,"spotify:track:4e76Ss3ji7HQZ4qwcPNkNA","Junior H","MIENTRAS DUERMES","WEA Latina",8,23,69,"4670068"
24,"spotify:track:7xLfNI4gRNTu6FyXJlzBW5","Peso Pluma, Tito Double P","ni pedo","Double P Records",4,26,10,"4629418"
25,"spotify:track:0IMJsnmPXXgPyQDbhomx1B","Junior H, Gael Valenzuela, Peso Pluma","DROGA LETAL","WEA Latina",10,20,3,"4557620"
26,"spotify:track:67jm6nWkkJUsiJ6zedlYng","Régulo Molina, Oscar Maydon, Neton Vega","Canasteo","Rico o Muerto Music",6,21,7,"4460255"
27,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",12,19,61,"4398553"
28,"spotify:track:1a7onn7lPqqRWul5ogyMyX","Fuerza Regida","ANSIEDAD","Rancho Humilde/Street Mob Records/Sony Music Latin",7,27,44,"4379652"
29,"spotify:track:30ECWSoejTkHDqo0yMpf6y","Virlan Garcia","Mi Entorno","La Cima Records",7,25,20,"4241818"
30,"spotify:track:6znjONJrY5EFnn8TsIsPwx","Moy Bobadilla","Tus Mentiras (En Vivo)","Vida Recia & Music VIP Entertainment Presenta Moy Bobadilla",29,29,11,"4088193"
31,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",15,28,63,"4054148"
32,"spotify:track:6272S5nkbOvQDazRYq6muV","Fuerza Regida","caperuza","Rancho Humilde/Street Mob Records/Sony Music Latin",21,30,44,"4040313"
33,"spotify:track:31REg67eoHJSvMLUcEmGNj","La Arrolladora Banda El Limón De Rene Camacho","El Final De Nuestra Historia","Universal Music Mexico",16,35,142,"3913264"
34,"spotify:track:4BXbjwe562hQ8AzEV5lmPc","Peso Pluma, Tito Double P","putielegante","Double P Records",12,34,10,"3870798"
35,"spotify:track:59IzIYjjHoYqs6SLioYrcI","Los Alegres Del Barranco","El Del Palenque","Los Alegres Del Barranco Corp",35,52,18,"3868101"
36,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",11,24,61,"3846612"
37,"spotify:track:0N6h5RnzCNJG3JfROXQIMQ","Natanael Cano, Gabito Ballesteros","Perlas Negras","WEA Latina",1,38,36,"3585482"
