pais,fecha,mes_muestra,rank,artist_names,artist_01,artist_02,artist_03,artist_04,artist_05,artist_06,artist_07,artist_08,artist_09,artist_10,nacionalidad_01,nacionalidad_02,nacionalidad_03,nacionalidad_04,nacionalidad_05,nacionalidad_06,nacionalidad_07,nacionalidad_08,nacionalidad_09,nacionalidad_10,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
Argentina,2025/11/06,noviembre_2025,1,"Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES",Roze Oficial,Max Carra,Valen,RAMKY EN LOS CONTROLES,NA,NA,NA,NA,NA,NA,Argentina,Argentina,Argentina,Argentina,NA,NA,NA,NA,NA,NA,Tu jardín con enanitos,Sony Music Uruguay,1,1,24,2468159
Argentina,2025/11/06,noviembre_2025,2,"Young Cister, Kreamly",Young Cister,Kreamly,NA,NA,NA,NA,NA,NA,NA,NA,Chile,Chile,NA,NA,NA,NA,NA,NA,NA,NA,QLOO*,Sony Music Entertainment Chile S.A,2,2,19,1671001
Argentina,2025/11/06,noviembre_2025,3,Rels B,Rels B,NA,NA,NA,NA,NA,NA,NA,NA,NA,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,TU VAS SIN (fav),DALE PLAY Records / Flakk Team,3,3,16,1522062
Argentina,2025/11/06,noviembre_2025,4,"Ovy On The Drums, Quevedo, Beéle",Ovy On The Drums,Quevedo,Beéle,NA,NA,NA,NA,NA,NA,NA,Colombia,España,Colombia,NA,NA,NA,NA,NA,NA,NA,YO y TÚ,WEA Latina,4,7,21,1388321
Argentina,2025/11/06,noviembre_2025,5,"Jere Klein, Katteyes, Mateo on the Beatz",Jere Klein,Katteyes,Mateo on the Beatz,NA,NA,NA,NA,NA,NA,NA,Chile,Chile,Chile,NA,NA,NA,NA,NA,NA,NA,TODO KE VER,2025 JERE KLEIN,3,5,12,1339339
Argentina,2025/11/06,noviembre_2025,6,Milo j,Milo j,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niño,Sony Music Latin,6,6,6,1289728
Argentina,2025/11/06,noviembre_2025,7,"W Sound, Beéle, Ovy On The Drums",W Sound,Beéle,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,La Plena - W Sound 05,WEA Latina,1,4,36,1259847
Argentina,2025/11/06,noviembre_2025,8,"Luck Ra, Miranda!",Luck Ra,Miranda!,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,TU MISTERIOSO ALGUIEN (CUARTETO) (feat. Miranda!),Sony Music Latin,2,10,8,1145166
Argentina,2025/11/06,noviembre_2025,9,"Maria Becerra, TINI, XROSS",Maria Becerra,TINI,XROSS,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,HASTA QUE ME ENAMORO,WEA Latina,9,24,7,1144903
Argentina,2025/11/06,noviembre_2025,10,"Easykid, Dysbit",Easykid,Dysbit,NA,NA,NA,NA,NA,NA,NA,NA,Chile,Chile,NA,NA,NA,NA,NA,NA,NA,NA,Shiny,Easykid,6,9,9,1137150
Argentina,2025/11/06,noviembre_2025,11,"Myke Towers, Quevedo",Myke Towers,Quevedo,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,España,NA,NA,NA,NA,NA,NA,NA,NA,SOLEAO,WEA Latina,4,11,23,1075097
Argentina,2025/11/06,noviembre_2025,12,Miranda!,Miranda!,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tu Misterioso Alguien,Pelo Music,1,12,17,1059313
Argentina,2025/11/06,noviembre_2025,13,"La T y La M, Malandro",La T y La M,Malandro,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,Amor de Vago,GraceMusic,1,19,61,1051424
Argentina,2025/11/06,noviembre_2025,14,Beéle,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,no tiene sentido,5020 Records,8,8,24,1021931
Argentina,2025/11/06,noviembre_2025,15,Babasonicos,Babasonicos,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Como Eran Las Cosas,Universal Music Argentina S.A.,11,16,138,1018107
Argentina,2025/11/06,noviembre_2025,16,"Alleh, Yorghaki",Alleh,Yorghaki,NA,NA,NA,NA,NA,NA,NA,NA,Venezuela,Venezuela,NA,NA,NA,NA,NA,NA,NA,NA,capaz (merengueton),La Ciudad,3,15,43,961963
Argentina,2025/11/06,noviembre_2025,17,"Bad Bunny, Omar Courtz, Dei V",Bad Bunny,Omar Courtz,Dei V,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,VeLDÁ,Rimas Entertainment LLC.,6,18,44,941726
Argentina,2025/11/06,noviembre_2025,18,Max Carra,Max Carra,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,UWAIE - versión cumbia,Max Carra,9,13,40,902071
Argentina,2025/11/06,noviembre_2025,19,Taylor Swift,Taylor Swift,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Fate of Ophelia,Taylor Swift,2,14,5,896204
Argentina,2025/11/06,noviembre_2025,20,"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",Blessd,Anuel AA,Yan Block,Luar La L,Kris R.,ROA,NA,NA,NA,NA,Colombia,Puerto Rico,Puerto Rico,Puerto Rico,Colombia,Puerto Rico,NA,NA,NA,NA,"YOGURCITO REMIX (feat. Kris R., ROA)",WEA Latina,20,27,10,895127
Argentina,2025/11/06,noviembre_2025,21,Cazzu,Cazzu,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Con Otra,DALE PLAY Records / RIMAS Entertainment LLC,6,26,33,873005
Argentina,2025/11/06,noviembre_2025,22,"Maria Becerra, XROSS",Maria Becerra,XROSS,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,JOJO,WEA Latina,22,-1,1,868406
Argentina,2025/11/06,noviembre_2025,23,Airbag,Airbag,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Por Mil Noches,DALE PLAY Records / Airbag,18,29,303,861015
Argentina,2025/11/06,noviembre_2025,24,Tan Bionica,Tan Bionica,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Obsesionario en La Mayor,DALE PLAY Records,24,98,126,860504
Argentina,2025/11/06,noviembre_2025,25,Jin,Jin,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corea del Sur,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don’t Say You Love Me,BIGHIT MUSIC,17,17,25,859405
Argentina,2025/11/06,noviembre_2025,26,"El Bogueto, Yung Beef",El Bogueto,Yung Beef,NA,NA,NA,NA,NA,NA,NA,NA,Mexico,España,NA,NA,NA,NA,NA,NA,NA,NA,Cuando No Era Cantante,Candela Music,26,49,5,839572
Argentina,2025/11/06,noviembre_2025,27,Tan Bionica,Tan Bionica,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,El Problema Del Amor,DALE PLAY Records,27,-1,1,828270
Argentina,2025/11/06,noviembre_2025,28,"Milo j, Trueno",Milo j,Trueno,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,Gil,Sony Music Latin,17,20,6,815243
Argentina,2025/11/06,noviembre_2025,29,"Yan Block, Panda Black",Yan Block,Panda Black,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,444,SONAR LLC.,25,33,39,812654
Argentina,2025/11/06,noviembre_2025,30,TINI,TINI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Una Noche Más,5020 Records,27,28,4,812462
Argentina,2025/11/06,noviembre_2025,31,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Bad Bunny,Ozuna,Farruko,Arcángel,Ñengo Flow,DJ Luian,Mambo Kingz,NA,NA,NA,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,NA,NA,NA,Diles,Rimas Entertainment LLC,25,25,93,810284
Argentina,2025/11/06,noviembre_2025,32,"Rauw Alejandro, Bad Bunny",Rauw Alejandro,Bad Bunny,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,Qué Pasaría...,Sony Music Latin/Duars Entertainment,14,22,51,810026
Argentina,2025/11/06,noviembre_2025,33,"Tiago PZK, Ke Personajes",Tiago PZK,Ke Personajes,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,Piel,WEA Latina,2,40,92,805683
Argentina,2025/11/06,noviembre_2025,34,"Yan Block, TORRRES",Yan Block,TORRRES,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,Yo sé,SONAR LLC.,11,36,44,771312
Argentina,2025/11/06,noviembre_2025,35,Plan B,Plan B,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,Es un Secreto,Pina Records,28,34,156,766215
Argentina,2025/11/06,noviembre_2025,36,"Emilia, TINI, Nicki Nicole",Emilia,TINI,Nicki Nicole,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,blackout 🧊,Sony Music Latin,1,44,33,747108
Argentina,2025/11/06,noviembre_2025,37,Plan B,Plan B,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fronteo,Pina Records,9,63,21,744733
Argentina,2025/11/06,noviembre_2025,38,"Beéle, Ovy On The Drums",Beéle,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,mi refe,5020 Records,20,21,44,724826
Argentina,2025/11/06,noviembre_2025,39,Beéle,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,si te pillara,5020 Records,16,23,19,722748
Argentina,2025/11/06,noviembre_2025,40,Bad Bunny,Bad Bunny,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAILE INoLVIDABLE,Rimas Entertainment LLC.,1,32,44,716532
Argentina,2025/11/06,noviembre_2025,41,"No Te Va Gustar, Juan Casanova",No Te Va Gustar,Juan Casanova,NA,NA,NA,NA,NA,NA,NA,NA,Uruguay,Uruguay,NA,NA,NA,NA,NA,NA,NA,NA,Tan Lejos,Elefante Blanco,28,35,171,711112
Argentina,2025/11/06,noviembre_2025,42,Airbag,Airbag,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pensamientos,Pop Art,42,54,36,692967
Argentina,2025/11/06,noviembre_2025,43,"DENNIS, Luísa Sonza, Emilia",DENNIS,Luísa Sonza,Emilia,NA,NA,NA,NA,NA,NA,NA,Brasil,Brasil,Argentina,NA,NA,NA,NA,NA,NA,NA,MOTINHA 2.0 (Mete Marcha) - Remix,Sony Music Entertainment Brasil / 5020 Records,3,37,28,692553
Argentina,2025/11/06,noviembre_2025,44,No Te Va Gustar,No Te Va Gustar,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uruguay,NA,NA,NA,NA,NA,NA,NA,NA,NA,A las Nueve,Elefante Blanco,27,42,358,692001
Argentina,2025/11/06,noviembre_2025,45,TINI,TINI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down,5020 Records,30,30,2,683708
Argentina,2025/11/06,noviembre_2025,46,Angela Torres,Angela Torres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAVORITA,Sony Music Uruguay,23,39,8,678794
Argentina,2025/11/06,noviembre_2025,47,Milo j,Milo j,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bajo De La Piel,Sony Music Latin,15,31,9,659900
Argentina,2025/11/06,noviembre_2025,48,"Yan Block, De La Rose, Hades66, Ñengo Flow",Yan Block,De La Rose,Hades66,Ñengo Flow,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,444 - Remix,SONAR LLC.,48,-1,1,646902
Argentina,2025/11/06,noviembre_2025,49,"Bizarrap, Daddy Yankee",Bizarrap,Daddy Yankee,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66",DALE PLAY Records,49,-1,1,626025
Argentina,2025/11/06,noviembre_2025,50,"Lali, Miranda!",Lali,Miranda!,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,MEJOR QUE VOS,Sony Music Argentina,10,41,39,625228
Argentina,2025/12/04,diciembre_2025,1,"ROSALÍA, Yahritza Y Su Esencia",ROSALÍA,Yahritza Y Su Esencia,NA,NA,NA,NA,NA,NA,NA,NA,España,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,NA,La Perla,Columbia,1,6,4,3227808
Argentina,2025/12/04,diciembre_2025,2,"Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES",Roze Oficial,Max Carra,Valen,RAMKY EN LOS CONTROLES,NA,NA,NA,NA,NA,NA,Argentina,Argentina,Argentina,Argentina,NA,NA,NA,NA,NA,NA,Tu jardín con enanitos,Sony Music Uruguay,1,1,28,2165730
Argentina,2025/12/04,diciembre_2025,3,"El Bogueto, Yung Beef",El Bogueto,Yung Beef,NA,NA,NA,NA,NA,NA,NA,NA,Mexico,España,NA,NA,NA,NA,NA,NA,NA,NA,Cuando No Era Cantante,Candela Music,3,4,9,1946434
Argentina,2025/12/04,diciembre_2025,4,"Bizarrap, Daddy Yankee",Bizarrap,Daddy Yankee,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66",DALE PLAY Records,1,2,5,1909611
Argentina,2025/12/04,diciembre_2025,5,Rels B,Rels B,NA,NA,NA,NA,NA,NA,NA,NA,NA,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,TU VAS SIN (fav),DALE PLAY Records / Flakk Team,3,3,20,1778216
Argentina,2025/12/04,diciembre_2025,6,"Young Cister, Kreamly",Young Cister,Kreamly,NA,NA,NA,NA,NA,NA,NA,NA,Chile,Chile,NA,NA,NA,NA,NA,NA,NA,NA,QLOO*,Sony Music Entertainment Chile S.A,2,5,23,1362499
Argentina,2025/12/04,diciembre_2025,7,"Ovy On The Drums, Quevedo, Beéle",Ovy On The Drums,Quevedo,Beéle,NA,NA,NA,NA,NA,NA,NA,Colombia,España,Colombia,NA,NA,NA,NA,NA,NA,NA,YO y TÚ,WEA Latina,4,7,25,1306046
Argentina,2025/12/04,diciembre_2025,8,"W Sound, Beéle, Ovy On The Drums",W Sound,Beéle,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,La Plena - W Sound 05,WEA Latina,1,9,40,1302002
Argentina,2025/12/04,diciembre_2025,9,Milo j,Milo j,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niño,Sony Music Latin,6,10,10,1242539
Argentina,2025/12/04,diciembre_2025,10,"Myke Towers, Quevedo",Myke Towers,Quevedo,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,España,NA,NA,NA,NA,NA,NA,NA,NA,SOLEAO,WEA Latina,4,11,27,1140530
Argentina,2025/12/04,diciembre_2025,11,"Jere Klein, Katteyes, Mateo on the Beatz",Jere Klein,Katteyes,Mateo on the Beatz,NA,NA,NA,NA,NA,NA,NA,Chile,Chile,Chile,NA,NA,NA,NA,NA,NA,NA,TODO KE VER,2025 JERE KLEIN,3,15,16,1078943
Argentina,2025/12/04,diciembre_2025,12,"Maria Becerra, TINI, XROSS",Maria Becerra,TINI,XROSS,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,HASTA QUE ME ENAMORO,WEA Latina,8,8,11,1063744
Argentina,2025/12/04,diciembre_2025,13,"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",Blessd,Anuel AA,Yan Block,Luar La L,Kris R.,ROA,NA,NA,NA,NA,Colombia,Puerto Rico,Puerto Rico,Puerto Rico,Colombia,Puerto Rico,NA,NA,NA,NA,"YOGURCITO REMIX (feat. Kris R., ROA)",WEA Latina,13,13,14,1044922
Argentina,2025/12/04,diciembre_2025,14,ROSALÍA,ROSALÍA,NA,NA,NA,NA,NA,NA,NA,NA,NA,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reliquia,Columbia,14,72,4,1027350
Argentina,2025/12/04,diciembre_2025,15,"La T y La M, Malandro",La T y La M,Malandro,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,Amor de Vago,GraceMusic,1,18,65,968793
Argentina,2025/12/04,diciembre_2025,16,"Alleh, Yorghaki",Alleh,Yorghaki,NA,NA,NA,NA,NA,NA,NA,NA,Venezuela,Venezuela,NA,NA,NA,NA,NA,NA,NA,NA,capaz (merengueton),La Ciudad,3,19,47,955506
Argentina,2025/12/04,diciembre_2025,17,Miranda!,Miranda!,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tu Misterioso Alguien,Pelo Music,1,12,21,951106
Argentina,2025/12/04,diciembre_2025,18,"Luck Ra, Miranda!",Luck Ra,Miranda!,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,TU MISTERIOSO ALGUIEN (CUARTETO) (feat. Miranda!),Sony Music Latin,2,17,12,946236
Argentina,2025/12/04,diciembre_2025,19,Beéle,Beéle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,no tiene sentido,5020 Records,8,21,28,891562
Argentina,2025/12/04,diciembre_2025,20,"ROSALÍA, Björk, Yves Tumor",ROSALÍA,Björk,Yves Tumor,NA,NA,NA,NA,NA,NA,NA,España,Islandia,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,Berghain,Columbia,20,94,6,885935
Argentina,2025/12/04,diciembre_2025,21,Max Carra,Max Carra,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,UWAIE - versión cumbia,Max Carra,9,28,44,881291
Argentina,2025/12/04,diciembre_2025,22,Airbag,Airbag,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pensamientos,Pop Art,22,27,40,875543
Argentina,2025/12/04,diciembre_2025,23,"Easykid, Dysbit",Easykid,Dysbit,NA,NA,NA,NA,NA,NA,NA,NA,Chile,Chile,NA,NA,NA,NA,NA,NA,NA,NA,Shiny,Easykid,6,23,13,865622
Argentina,2025/12/04,diciembre_2025,24,"Maria Becerra, XROSS",Maria Becerra,XROSS,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,JOJO,WEA Latina,14,14,5,843378
Argentina,2025/12/04,diciembre_2025,25,Bad Bunny,Bad Bunny,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAILE INoLVIDABLE,Rimas Entertainment LLC.,1,33,48,840587
Argentina,2025/12/04,diciembre_2025,26,Babasonicos,Babasonicos,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Como Eran Las Cosas,Universal Music Argentina S.A.,11,24,142,835461
Argentina,2025/12/04,diciembre_2025,27,"Bad Bunny, Omar Courtz, Dei V",Bad Bunny,Omar Courtz,Dei V,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,VeLDÁ,Rimas Entertainment LLC.,6,25,48,828434
Argentina,2025/12/04,diciembre_2025,28,"Maria Becerra, El Alfa, XROSS",Maria Becerra,El Alfa,XROSS,NA,NA,NA,NA,NA,NA,NA,Argentina,Republica Dominicana,Argentina,NA,NA,NA,NA,NA,NA,NA,HACE CALOR,WEA Latina,16,16,2,824463
Argentina,2025/12/04,diciembre_2025,29,Cazzu,Cazzu,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Con Otra,DALE PLAY Records / RIMAS Entertainment LLC,6,20,37,818449
Argentina,2025/12/04,diciembre_2025,30,Airbag,Airbag,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Por Mil Noches,DALE PLAY Records / Airbag,18,22,307,814703
Argentina,2025/12/04,diciembre_2025,31,ROSALÍA,ROSALÍA,NA,NA,NA,NA,NA,NA,NA,NA,NA,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sexo, Violencia y Llantas",Columbia,31,160,4,814297
Argentina,2025/12/04,diciembre_2025,32,"Yan Block, Panda Black",Yan Block,Panda Black,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,444,SONAR LLC.,24,31,43,764220
Argentina,2025/12/04,diciembre_2025,33,Taylor Swift,Taylor Swift,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estados Unidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Fate of Ophelia,Taylor Swift,2,34,9,759603
Argentina,2025/12/04,diciembre_2025,34,Jin,Jin,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corea del Sur,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don’t Say You Love Me,BIGHIT MUSIC,17,36,29,754945
Argentina,2025/12/04,diciembre_2025,35,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Bad Bunny,Ozuna,Farruko,Arcángel,Ñengo Flow,DJ Luian,Mambo Kingz,NA,NA,NA,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,NA,NA,NA,Diles,Rimas Entertainment LLC,25,29,97,753410
Argentina,2025/12/04,diciembre_2025,36,"Beéle, Ovy On The Drums",Beéle,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,mi refe,5020 Records,20,26,48,752241
Argentina,2025/12/04,diciembre_2025,37,"DobleP, Peipper, Locura Mix, VERNAZ",DobleP,Peipper,Locura Mix,VERNAZ,NA,NA,NA,NA,NA,NA,Argentina,Argentina,Argentina,Argentina,NA,NA,NA,NA,NA,NA,PUTERÍ4,DALE PLAY Records / Wesaisons Records,37,41,4,739546
Argentina,2025/12/04,diciembre_2025,38,Zion & Lennox,Zion & Lennox,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,La player (Bandolera),WEA Latina,12,39,75,736867
Argentina,2025/12/04,diciembre_2025,39,"Milo j, Trueno",Milo j,Trueno,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,Gil,Sony Music Latin,17,45,10,730909
Argentina,2025/12/04,diciembre_2025,40,Babasonicos,Babasonicos,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Irresponsables,Pop Art,30,30,96,726945
Argentina,2025/12/04,diciembre_2025,41,"Rauw Alejandro, Bad Bunny",Rauw Alejandro,Bad Bunny,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,Qué Pasaría...,Sony Music Latin/Duars Entertainment,14,53,55,722046
Argentina,2025/12/04,diciembre_2025,42,Airbag,Airbag,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nunca Lo Olvides,DALE PLAY Records,40,44,54,717465
Argentina,2025/12/04,diciembre_2025,43,"Héctor ""El Father"", Wisin & Yandel","Héctor ""El Father""",Wisin & Yandel,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,El Teléfono,Machete Music,43,51,9,714781
Argentina,2025/12/04,diciembre_2025,44,Plan B,Plan B,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fronteo,Pina Records,9,50,25,698269
Argentina,2025/12/04,diciembre_2025,45,"Maria Becerra, Rei, XROSS",Maria Becerra,Rei,XROSS,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,MI AMOR,WEA Latina,40,40,2,679895
Argentina,2025/12/04,diciembre_2025,46,"Tiago PZK, Ke Personajes",Tiago PZK,Ke Personajes,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,Piel,WEA Latina,2,49,96,674656
Argentina,2025/12/04,diciembre_2025,47,"Emilia, TINI, Nicki Nicole",Emilia,TINI,Nicki Nicole,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,blackout 🧊,Sony Music Latin,1,35,37,673657
Argentina,2025/12/04,diciembre_2025,48,Tan Bionica,Tan Bionica,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Obsesionario en La Mayor,DALE PLAY Records,24,43,130,661393
Argentina,2025/12/04,diciembre_2025,49,Angela Torres,Angela Torres,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAVORITA,Sony Music Uruguay,23,56,12,636972
Argentina,2025/12/04,diciembre_2025,50,No Te Va Gustar,No Te Va Gustar,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uruguay,NA,NA,NA,NA,NA,NA,NA,NA,NA,A las Nueve,Elefante Blanco,27,52,362,634976
